Question,Option A,Option B,Option C,Option D,Correct Answer
A good agent trace lets you answer:,"Which step first departed from the gold policy, with the exact arguments and observation",Only whether the user clicked like,Only total GPU hours for the company,Only the final BLEU score,A
A human-in-the-loop approval node is a state-machine feature. Skipping it in a free-form agent typically happens because:,The model can call the side-effecting tool directly if that tool is in scope,Graphs magically wrap every tool,Timeouts insert approvals,Temperature 0 inserts approvals,A
A retry storm from an agent usually looks like:,"Many identical side-effecting calls after a slow 500, multiplying load and duplicate actions",A single well-bounded backoff,A user-visible stop after N errors,Jittered exponential backoff with a cap,A
A token budget on an agent run should include:,"System, history, each tool observation, and all model outputs—not only the last answer",Only the user’s first sentence,Only embeddings,Only logs stored on disk,A
A tool schema mismatch (string vs array) should be handled by:,"Rejecting before execution, returning a structured error the model can repair, counting against the retry budget",Executing anyway and hoping,Raising temperature and resending to the tool,Dropping traces of the bad call,A
"A “search_files(glob)” tool plus “write_file(path, contents)” together are over-permissioned if the product only needs:",Read a ticket and post a comment,Full repository maintenance,A migration agent with human approval already in front,A coding agent in an isolated VM you accept,A
An agent retries a 'create charge' tool on timeout. The first call may have succeeded. What do you need?,More retries; timeouts mean the charge did not happen.,Idempotency keys / a ledger you check before charging; retries of side-effecting tools are duplicates waiting to happen.,Agents cannot call payment APIs.,The model remembers the first charge in weights.,B
Free-form looping is a poor fit when:,"Compliance requires that refunds never precede identity verification, no matter what the model wants",The user is exploring an unknown codebase,Tool order cannot be known in advance,You are prototyping a research assistant,A
"In a tool loop, the model’s “plan” is only as good as:",The observation it actually received; a truncated or lying tool result will steer the next call,The parameter count of the base model alone,The absence of a stop token,The color of the UI,A
Parallel tool calls help latency but complicate retries because:,"Partial success: some calls commit, others fail; you need per-call status, not one big undo",Parallelism forbids schemas,Retries become unnecessary,Traces cannot record more than one span,A
Scratchpad vs retrieved semantic memory: which statement is right?,Scratchpad is in-run working notes; semantic memory is an external store you query. Mixing them without a write policy causes stale or leaked state,They are the same tensor,Scratchpad survives process death by default,Semantic memory cannot be versioned,A
Tool timeouts should be:,"Shorter than the remaining run budget, with a defined cancel/idempotency story",Infinite so the agent never fails,Hidden from the model so it assumes success,Always equal to one millisecond,A
Two agents share a scratchpad in natural language as their only memory. Why does this rot?,Natural language cannot represent tasks.,"There is no schema, no conflict resolution, and no compact state — they overwrite, hallucinate prior steps, and diverge. Prefer structured state.",Scratchpads are encrypted and cannot be shared.,You need at least 12 agents for memory to work.,B
When is “just add memory” the wrong fix?,"The failure is a missing tool permission or a bad policy, and extra history only gives the model more ways to repeat it",The user refers to something said two turns ago inside the window,You retrieve the correct profile field,You store an audit log for humans,A
You can replace a free-form agent with a state machine that still calls an LLM at specific nodes. When is that the better architecture?,Never; it reduces intelligence.,"When most transitions are known and you want to constrain tools per state (support, KYC, deploy pipelines).",Only when the LLM is offline.,State machines cannot call tools.,B
You log thoughts in traces. A privacy issue is:,Thoughts and tool args can contain user secrets and must have retention and access controls like other prod logs,Traces cannot contain text,Thoughts are always synthetic and non-sensitive,GDPR never applies to logs,A
You should replace an agent with a compiled workflow when you notice:,The same two or three tool sequences succeed almost always,Every ticket needs a unique research path,Tools do not exist yet,Users never repeat intents,A
A 'manifest.json' object listing parts is a common S3 pattern because:,S3 cannot store more than one object,The bucket is not an index; you explicitly store the catalog you would have queried in a database,Manifests disable prefix hotspots automatically,Manifests provide multi-object ACID,B
"A Lambda lists a prefix, then processes each key. The prefix has 5 million objects. Why does this design collapse?",LIST is strongly consistent but returns at most 1 key.,"LIST is paginated and expensive; it is not a work queue. Use a manifest, S3 Inventory, or an event (SQS) per object.",Lambda cannot read S3.,"S3 LIST locks the prefix, so only one Lambda can run.",B
A Lambda processes SQS and writes S3. The Lambda times out after the PUT but before delete. What happens?,Exactly-once; SQS will not redeliver,The message returns after visibility timeout; you may PUT again — object writes and queue acks need idempotency keys,S3 rolls back the object,The prefix locks the key,B
A data lake on S3 plus Athena/Spark works when the object layout is:,One tiny file per event in a single hot prefix,"Partitioned, reasonably sized files (columnar) so listing and scan costs stay bounded",Random 1-byte objects for entropy,Unchecksummed copies only,B
CloudFront in front of S3 helps popular reads. Origin load still spikes when:,Checksums are enabled,"Cache misses, low TTL, or a unique-key stampede all go to the same prefix/object",SQS is at-least-once,Objects are immutable,B
DLQs exist on SQS because at-least-once plus poison messages would otherwise:,Make S3 eventually consistent,"Retry forever, blocking the queue; you isolate failures without pretending delivery was exactly-once",Corrupt checksums,Create prefix hotspots,B
"FIFO SQS gives ordering per message group and exactly-once processing attempts inside a window, but you still:",Skip idempotency forever,"Design consumers for retries, replays, and downstream side effects that may run more than once",Use S3 listing for locks,Disable checksums on the payload,B
If-Match / If-None-Match on S3 give you optimistic concurrency for one key. They do not give you:,A way to avoid clobbering a single object,Multi-key transactions like a database,ETag-based checks,A conditional PUT,B
Lifecycle transitions to colder storage classes are about access shape. A bad fit is:,Objects you rarely read,Objects you mutate or read with tight latency all day — retrieval cost and delay dominate,Checksummed backups,"Large, infrequent archives",B
Multipart upload is for large objects. Incomplete parts become a cost leak unless you:,Use sequential date prefixes,Abort abandoned uploads and set a lifecycle rule on incomplete parts,Store parts in SQS,Turn off checksums mid-upload,B
Request costs for 1 billion 1KB objects vs one 1GB object differ because:,Durability percentages change,PUT/GET/LIST are billed per request; tiny objects turn storage into an API-tax problem,Checksums fail on 1KB,SQS cannot notify 1GB objects,B
S3 Event Notifications to SQS can fire more than once for the same object change. Downstream must:,Treat notifications as exactly-once ledger entries,Dedupe on object key + version/etag and stay idempotent,Disable copies in S3,Use listing instead of events,B
S3 Select / Glacier select still does not replace a warehouse when:,Objects are larger than 400KB,"You need repeated ad-hoc joins, mutating indexes, and concurrent transactional updates",Checksums are present,Keys have prefixes,B
SQS delivers the same message twice to two consumers. What must your consumer assume?,Duplicates are a bug; open a ticket instead of making work idempotent.,"At-least-once delivery: make the handler idempotent (dedupe key, conditional write) or you double-charge/double-apply.",SQS is exactly-once if you use long polling.,FIFO queues never redeliver after a visibility timeout.,B
Storing session state only in S3 for a low-latency API is usually wrong because:,S3 cannot be private,Object GET/PUT latency and no cheap mutate path lose to an in-memory or purpose-built session store,Checksums add minutes,Prefixes cannot include user ids,B
Versioning helps durability and recovery. It does not help you if:,You overwrite by mistake and want the old bytes,"You needed a queryable current-row store; versions are extra objects, not an OLTP log you can SQL",You want protection against overwrite,You want to retrieve a prior checksummed copy,B
