Question,Correct Answer
Collapse the agent to a workflow,"When traces show a stable path, encode the path. Reserve free-form steps for genuine uncertainty."
Hard constraints in the graph,"Ordering, approvals, and forbidden tools belong in the state machine. Prompts cannot be the only lock on a side effect."
How do you retry a tool with side effects?,"The same way you retry a payment API: idempotency keys and a store you trust. Timeouts are not negatives. The agent must pass a stable key, or you wrap the tool so it does."
Idempotency keys,"Timeouts and retries must not double-apply payments, emails, or tickets. The tool contract includes “same key, same effect.”"
Nested budgets,Run budget > sum of tool timeouts. Per-tool timeout < remaining run time. Token budget includes observations. Fail closed.
Observations steer the loop,"The next action is conditioned on tool output. Truncation, injection in results, or silent coercion will be planned over as if true."
Tool blast radius,"Scope by resource, verb, and environment. Separate read from write. Never hand production-admin APIs to a general chat agent."
Trace-driven eval,"Grade trajectories: illegal transitions, wasted steps, schema errors, budget hits—not only final answer text."
When is a state machine + LLM better than a free agent?,"When legal/ops requires that certain tools only run in certain states (refund after verify, deploy after tests). The LLM fills slots or classifies; the machine owns transitions."
Write policy for memory,"Who writes episodic vs semantic memory, with what TTL, and what is in-context scratch. Unbounded writes become prompt injection and cost."
FIFO SQS vs skipping idempotency?,FIFO orders a group and dedupes in a window. Downstream side effects can still run twice. Design retries on purpose.
Lambda PUT to S3 then timeout before SQS delete — what must be true?,"Replay will happen. Object keys and side effects must be idempotent (deterministic keys, version ids, upserts)."
S3 ETag / If-Match gives you what — and not what?,"Optimistic concurrency on one key. Not multi-object transactions, not a row store, not a lock service."
S3 event notifications can duplicate. What do you dedupe on?,Object key plus version/etag (or a business event id). Treat notifications like at-least-once queue messages.
What is a DLQ for?,Poison messages that fail repeatedly. Isolate them instead of blocking the queue or pretending delivery was exactly-once.
What must SQS consumers implement?,"Idempotency. Visibility timeout expiry and at-least-once delivery mean the same message can be processed twice. A dedupe table or conditional write is part of the consumer, not an optional extra."
When are cold storage classes a bad fit?,When objects are read or overwritten with tight latency. Retrieval delay and cost dominate; keep hot data on a hot class or a database.
Why a manifest object?,The bucket is not an index. You explicitly store the list of parts/files you would have queried if this were a database.
Why batch events into columnar files for a data lake?,Analytics engines want reasonably sized files and partitions. One-tiny-file-per-event explodes LIST/GET cost and planning time.
Why isn't LIST a job queue?,"Listing millions of keys is paginated, easy to duplicate, and costs request money. You will also miss or double-process on eventual listing of fresh objects. Emit an event per object (SQS) or write a manifest."
B-tree WAL vs LSM WAL: what is each protecting?,B-tree WAL (or equivalent redo) protects in-place page mutations until checkpoint. LSM WAL protects memtable contents until they are flushed to an SSTable and that file is durable.
"For update-heavy small key sets on LSM, what dominates cost?",Compaction keeps rewriting the same hot keys and their old versions. You pay write amp and tombstone/version churn even though the logical dataset is tiny.
How do leveled vs size-tiered compaction typically trade amplification?,"Leveled keeps key ranges disjoint per level, lowering read/space amp but rewriting more (higher write amp). Size-tiered/universal merges similar-sized files, writing less often but leaving more overlap for reads and scans."
What causes an LSM write stall?,"Ingest outruns flush/compaction: too many memtables or L0 files. The engine throttles or blocks writers until compaction makes room, even if user-thread CPU is idle."
What is LSM write amplification?,"Each key may be rewritten as compaction moves it through levels. You bought sequential ingest and paid extra disk I/O later. Tuning level size, compaction strategy, and reducing churn/tombstones is how you keep amplification in check."
What is space amplification in an LSM?,"Live data plus obsolete versions, tombstones, and temporary extra copies during merge. It stays high until compaction installs the new file and drops the old ones."
When do bloom filters stop helping?,On wide range scans (files overlap the range anyway) and when the false-positive rate is so high that you still open most SSTables. They help negative point lookups most.
Why can a cached B-tree still beat LSM on point gets?,"Internal nodes stay in RAM, so a hit is often one leaf I/O. LSM may still miss on several per-file filters/indexes unless those are also cached and blooms are sharp."
Why do tiny frequent flushes hurt later reads?,"They create many overlapping SSTables. Point gets and especially range scans fan out across more files, and compaction must later rewrite that mess."
Why don't Bloom filters save LSM range scans?,A Bloom filter answers 'might this file contain this exact key?'. A range is many keys. You still have to merge overlapping runs. Range-heavy workloads often prefer B-trees for that reason.
What does copying shared_ptr cost?,"An atomic increment/decrement on the control block, plus poorer locality. If you don't need shared ownership, unique_ptr or a reference is cheaper and clearer."
"Why is a data race UB, not 'a torn int'?","The C++ memory model gives no meaning to concurrent non-atomic conflicting accesses. Compilers assume it does not happen and may delete checks or reorder around it. Use atomics or a mutex; don't 'just read it, it's one word'."
Why must destructors not throw?,During unwind there is already an exception. A second throw calls std::terminate. Destructors should release and swallow or std::abort on truly fatal resource failure.
Why not write a lock-free queue first?,"Memory ordering, ABA, and lifetime are easy to get wrong and hard to test. A mutex-protected deque is correct and fast enough for most services. Profile before you invent a queue."
LOCAL_QUORUM vs QUORUM in multi-DC: what latency did you buy?,"LOCAL_QUORUM waits for a majority in the local DC only, avoiding cross-DC round trips. Cluster-wide QUORUM may wait on remote DCs."
Read repair vs anti-entropy repair?,Read repair may fix replicas actually touched by a query. Anti-entropy repair walks ranges (including cold data) to reconcile the replica set systematically.
What goes wrong with an unbounded partition (millions of clustering rows)?,"Compaction, cache, repair, and reads concentrate on one token's huge contiguous data. Streaming and merging that partition can stall a replica."
What is a wide partition and why is it an outage?,"All rows for a partition key live together and are read/streamed as a unit. Tens of GB for one key means hot nodes, slow repairs, and GC pressure. Bucket the key (user+day) before the partition grows up."
Why can hinted handoff not replace repair?,Hints cover some missed writes for a limited time and can expire. They do not walk all token ranges or fix every kind of divergence. Repair still required.
Why do tombstone-heavy slice queries time out?,The replica must scan and skip deletion markers to find live rows. Huge tombstone runs burn CPU/I/O and hit tombstone-failure thresholds before returning data.
Why does write QUORUM + read QUORUM with RF=3 give a replica overlap?,"W+R>RF (2+2>3), so the set of replicas that took the write and the set that serve the read must share at least one node holding the data."
Why is LWT on a hot partition especially bad?,"Paxos serializes proposers per partition. Competing CAS operations on the same key queue behind in-flight rounds, amplifying latency far more than regular quorum writes."
Why isn't QUORUM a CAS?,"QUORUM gives you overlapping replica sets so a read usually sees the latest LWW write, not a linearizable compare-and-set. Two clients can still lose an update to timestamps. Lightweight transactions run Paxos per partition and cost latency for a reason."
Why must tombstones wait for a gc-grace window?,A replica that missed the delete could otherwise resurrect data once tombstones are gone. Grace gives time for hints/repair to propagate deletes first.
BFS frontier vs DFS stack,Wide shallow graphs: BFS queue can explode (social hops). Deep graphs: DFS stack can explode. Bidirectional BFS shrinks the frontier for shortest paths between two nodes.
Bloom pays off on negative-heavy traffic,"Each 'no' avoids a slower check. Each 'yes' still goes to source of truth, including false positives. Size the filter from n and target error; rebuild or counting variants if deletes matter."
Heap is not a map,"extract-min is fast; find/cancel by id is not unless you add a hash of indices or use a tree. Schedulers, Dijkstra decrease-key, and timers all hit this."
How does LRU get O(1) operations?,"Hash map: key to list node. Doubly linked list: recency order. On get, splice the node to the front. On miss+full, evict the tail. A heap would be log n and is the wrong recency structure."
LRU delete/move needs prev,Map to node + doubly linked recency list (or indexed array). Singly linked forces scans. Clock/2Q trade exact LRU for fewer pointer writes — still a layout choice.
Range query vs point query,"Point: hash. Range/predecessor/in-order: tree (in memory) or B-tree/LSM (on disk). Heap only gives you the current extreme, not a range."
Stable sort as a product feature,"Preserve earlier sort keys; keep original row order on ties; merge sorted runs without scrambling equals. If you need a total order, add a unique tie-break instead of hoping."
Union-find plus extra payload,"Keep aggregates on the root (size, min id, XOR, bipartite parity). After find, both nodes share a root so the payload is the component's. Rebuild payload on union."
Virtual nodes on a hash ring,Many tokens per physical server so ranges are small and mix well. Unequal capacity → proportional token count. Still plan warmup when a token range moves.
Why virtual nodes on a consistent hash ring?,One vnode per server makes neighbors absorb a huge arc on failure and keeps load lumpy. Many virtual nodes per physical server smooth placement and failover.
GSI limits you should recite in an interview?,"GSIs are eventually consistent, add write amplification, need their own capacity/heat planning, and a low-cardinality GSI PK is as bad as a low-cardinality table PK."
