Section,Question,Correct Answer
AI Agents,Agent = loop + tools,"The model proposes an action, the runtime executes a tool, the observation is appended, repeat until a stop condition. No loop, no agent."
AI Agents,"For AI agents, budgets and timeouts","Cap steps, wall clock, tool time, and tokens. On exhaustion, stop with a visible failure—do not wander."
AI Agents,"For AI agents, least privilege tools",Expose the narrowest action (refund_order_id) not a generic SQL or shell. The model will eventually call whatever you give it.
AI Agents,"For AI agents, memory kinds",Working: this context. Episodic: past runs. Semantic: facts/RAG. Do not pretend the window is a database.
AI Agents,"For AI agents, state machine vs free-form","Graph: allowed edges, easier eval and safety. Free-form: flexible, harder to bound. Default to a graph when the path is known."
AI Agents,"For AI agents, tool errors and retries","Distinguish transient vs permanent, validate schemas, cap retries, and require idempotency for side effects. Never retry-storm."
AI Agents,"For AI agents, traces","Span every thought/action/observation with ids, latency, tokens, and errors. You debug agents from traces, not from the final chat bubble."
AI Agents,"For AI agents, why is a step/time budget mandatory?","A think-act loop can retry forever on tool errors or a confused plan. Budgets cap cost and latency and force a fallback (human, default, failure). Treat the agent as an untrusted loop, not a guaranteed finisher."
AI Agents,When NOT to use an agent,"Known DAG, single LLM call, strict latency SLA, pure classify/extract. Agents cost retries, tokens, and surprise."
AI Agents,When should you not use an agent?,"When the control flow is known and mistakes are expensive. A state machine or ordinary code will refund the correct order; an agent might invent a tool call. Agents help when the next step depends on messy observation, not when the workflow is already a flowchart."
AWS & S3,How do you 'update a row' in S3?,Write a new object (or version) of the whole blob. There is no in-place column update.
AWS & S3,How does S3 durability actually work?,"Multiple copies plus checksums to detect corruption. Design around copies and integrity checks, not around reciting an SLA percentage."
AWS & S3,"In AWS / S3, what does at-least-once SQS require of you?","Idempotent consumers. The same message can be delivered twice after a timeout, crash, or retry."
AWS & S3,"In AWS / S3, what is a prefix hotspot?",A burst of requests concentrated on one key prefix (classic sequential dates). Spread entropy in keys so request rate is not pinned to one partition.
AWS & S3,"In AWS / S3, what is visibility timeout?","The hide window while a consumer works. Crash before delete => message reappears. That is at-least-once, not a lost-work bug in SQS."
AWS & S3,"In AWS / S3, why do millions of tiny objects hurt?","You pay per request and LIST/rename patterns become slow. Throughput and operational tooling all assume reasonably sized objects. Batch into larger files (Parquet, log chunks) unless you truly need one-key access to each blob."
AWS & S3,"In AWS / S3, why not LIST a million-key bucket as your product index?","LIST is paginated, costly, and not a query planner. Store a catalog (DB or manifest object) and treat S3 as the blob store."
AWS & S3,Why are tiny files expensive on S3?,Per-request and listing costs dominate storage. Batch records into larger objects; keep metadata in a real index if you must query.
AWS & S3,Why is S3 not a database?,"It stores objects addressed by key. No secondary indexes, joins, or cheap field updates. GET/PUT/LIST are not SQL."
AWS & S3,Why isn't S3 a database?,"You get durable objects and a key namespace, not transactions, secondary indexes, or cheap small mutations. Concurrent writers last-write-win. Use S3 as a system of record for blobs/files, and a real database for records you query and update."
B-tree & LSM,"For B-trees and LSM trees, how is the memtable recovered after a crash?","SSTables already on disk stay. The WAL is replayed to reconstruct unflushed memtable writes, then normal flush/compaction can continue."
B-tree & LSM,"For B-trees and LSM trees, in one sentence, contrast LSM write amplification vs read amplification.","Write amplification is extra bytes rewritten (WAL, flush, compaction) per user write. Read amplification is extra files/I/Os touched per user read."
B-tree & LSM,"For B-trees and LSM trees, what does a bloom filter guarantee on an LSM lookup?","If it says no, the key is definitely not in that SSTable. If it says maybe, you must read the index/data; false positives only waste I/O, they do not return wrong values."
B-tree & LSM,"For B-trees and LSM trees, what problem do Bloom filters solve in an LSM?","A point lookup might otherwise open many SSTables. A Bloom filter can say 'this file definitely does not have the key' and skip it. False positives waste a read; false negatives would be incorrect, so they are designed not to happen for inserted keys."
B-tree & LSM,"For B-trees and LSM trees, what problem does compaction solve?","It merges SSTables, drops obsolete versions and tombstones, and bounds how many files a read must inspect—at the cost of rewriting live data (write amplification)."
B-tree & LSM,"For B-trees and LSM trees, what roles do the memtable and WAL play together?",The memtable absorbs sorted in-memory writes for fast ingest. The WAL records those mutations durably first so a crash can rebuild the memtable before the next flush.
B-tree & LSM,"For B-trees and LSM trees, why can one LSM point get touch several SSTables?","Flushes create new files over time. The latest version of a key may live in a newer file, so the engine checks memtable then potentially multiple SSTables until it finds the newest value or proves absence."
B-tree & LSM,When do you want a B-tree vs an LSM tree?,"B-trees update pages in place and shine at point lookups and range scans, at the cost of random writes. LSM trees turn writes into sequential flushes and compact later — great for ingest, worse for read amplification and compaction storms."
B-tree & LSM,Why are LSM range scans heavier than B-tree range scans of the same span?,A B-tree walk follows sorted leaves with little overlap. An LSM scan must merge-sort the memtable plus every overlapping SSTable that might contain keys in the range.
B-tree & LSM,Why does a random insert usually cost a B-tree a full leaf-page write?,"The engine updates a key in place inside a fixed-size leaf. Durability means writing that whole page (and maybe split parents), so amplification is page-sized, not row-sized."
C++,"In C++, what does unique_ptr change vs new/delete?","Ownership is in the type. The destructor deletes on every exit, including exceptions. You can move it but not copy it, which makes double-free and leak paths obvious at compile time."
C++,"In C++, what is RAII buying you?","The destructor runs when the object leaves scope, including via exception. Locks, sockets, and heap buffers get released without a manual `finally`. unique_ptr is RAII for heap memory; lock_guard is RAII for mutexes."
C++,"In C++, why do vector pointers dangle after growth?","A vector is a contiguous buffer. When capacity is exceeded it allocates a larger buffer and moves elements. Pointers and iterators into the old buffer are invalid. Reserve first, or don't hold pointers across push_back."
C++,"In C++, why is string_view dangerous as a stored field?","It is a pointer and a length, not an owner. If it points at a temporary or a buffer that was freed, later use is undefined behavior. Store a string if you need to keep the data."
Cassandra,"In Cassandra, how should you think about partition key vs clustering key?",The partition key decides which node/shard owns the data and must stay well distributed. Clustering keys order rows inside that partition so you can range-read one user's timeline. A huge partition or a low-cardinality partition key becomes a hot shard.
Cassandra,"In Cassandra, partition key vs clustering columns: who does what?",The partition key hashes to a token and chooses the replica set (where data lives). Clustering columns sort rows inside that partition on disk and in queries.
Cassandra,"In Cassandra, what does repair fix that normal reads/writes might miss?","Replica divergence from downtime, dropped hints, or missed mutations. Anti-entropy compares token ranges and streams missing data."
Cassandra,"In Cassandra, what is a tombstone and why must it exist?","It is a deletion marker stored like data. Without it, an older SSTable could resurrect a value after a delete. Compaction removes tombstones only after it is safe."
Cassandra,"In Cassandra, what is hinted handoff?","If a replica is down, the coordinator may store a hint and replay the mutation when the replica returns. It is a short-term miss buffer, not full repair."
Cassandra,"In Cassandra, what is the difference between RF and consistency level?",RF is how many replicas store each partition. CL is how many replicas must acknowledge this specific read or write before success.
Cassandra,"In Cassandra, why are LWTs more expensive than ordinary writes?","IF / CAS uses a Paxos-style agreement round on the partition instead of a regular quorum write, adding round trips and contention."
Cassandra,"In Cassandra, why are hot partitions dangerous?",All reads/writes for that key hash to the same token and the same small replica set. Those nodes become the bottleneck even if the cluster average looks fine.
Cassandra,"In Cassandra, why do deletes leave tombstones?","Replicas may be down. If you dropped the row immediately, repair could copy an old copy back. A tombstone says 'this is gone' until gc_grace_seconds, then it can be dropped. Too many tombstones make reads scan a graveyard."
Cassandra,"In Cassandra, with RF=3, how many replicas is QUORUM?","A majority of RF, so 2. ALL would be 3; ONE would be 1."
Data Structures & Algorithms,"In data structures and algorithms, BFS vs DFS, pick from the question","Fewest hops / unweighted shortest / level order → BFS. Explore one branch, cycle detect in directed graphs, topo-style recursion, lower memory on skinny graphs → DFS."
Data Structures & Algorithms,"In data structures and algorithms, LRU as two structures",Hash map: key → node. Doubly linked list (or clock/2Q variant): recency. Hit = splice to front. Evict = drop tail. One without the other misses the workload.
Data Structures & Algorithms,"In data structures and algorithms, bloom filter contract",'No' = definitely absent. 'Yes' = maybe present (false positives). Size and hash count trade memory for that error rate. Never treat yes as proof.
Data Structures & Algorithms,"In data structures and algorithms, hash table vs tree — how do you choose?","Hash tables give expected O(1) lookup without order. Trees (or sorted arrays) give ordered scans, range queries, and worst-case bounds. If you need 'all keys from A to B', a hash table makes you scan everything."
Data Structures & Algorithms,"In data structures and algorithms, pick hash vs tree vs heap from the query","Exact key lookup / membership → hash. Ordered range, predecessor, sorted iteration → tree. Repeated extract-min/max → heap. Do not store a dictionary in a heap."
Data Structures & Algorithms,"In data structures and algorithms, union-find workload","Disjoint sets with merge and same-component queries (networks, Kruskal, clustering). Path compression + union by rank makes the operations effectively tiny. Not a replacement for shortest path."
Data Structures & Algorithms,"In data structures and algorithms, what is a Bloom filter actually promising?","A compact, probabilistic set. 'No' means definitely not present. 'Yes' means maybe, with a tuned false-positive rate. You use it to skip expensive lookups, never as the only source of truth."
Data Structures & Algorithms,"In data structures and algorithms, when stability of a sort matters","Ties must keep input order: multi-pass sorts (sort by last key first), UI that should not jump rows, and merging already-ordered groups. Unstable is fine if you sort a total unique key."
Data Structures & Algorithms,"In data structures and algorithms, why consistent hashing exists","hash % N reshuffles nearly all keys when N changes. Consistent hashing moves ~keys/N. Use it for caches, shards, and DHT-style ownership."
Data Structures & Algorithms,"In data structures and algorithms, why linked lists lose on real machines","Pointer chasing: poor spatial locality, extra allocations, no prefetch. An array/ring buffer does the same O(1) enqueue with contiguous loads. Measure cache misses, not just big-O."
