Section,Question,Correct Answer
AI Agents,Collapse the agent to a workflow,"When traces show a stable path, encode the path. Reserve free-form steps for genuine uncertainty."
AI Agents,"For AI agents, hard constraints in the graph","Ordering, approvals, and forbidden tools belong in the state machine. Prompts cannot be the only lock on a side effect."
AI Agents,"For AI agents, how do you retry a tool with side effects?","The same way you retry a payment API: idempotency keys and a store you trust. Timeouts are not negatives. The agent must pass a stable key, or you wrap the tool so it does."
AI Agents,"For AI agents, idempotency keys","Timeouts and retries must not double-apply payments, emails, or tickets. The tool contract includes “same key, same effect.”"
AI Agents,"For AI agents, nested budgets",Run budget > sum of tool timeouts. Per-tool timeout < remaining run time. Token budget includes observations. Fail closed.
AI Agents,"For AI agents, observations steer the loop","The next action is conditioned on tool output. Truncation, injection in results, or silent coercion will be planned over as if true."
AI Agents,"For AI agents, tool blast radius","Scope by resource, verb, and environment. Separate read from write. Never hand production-admin APIs to a general chat agent."
AI Agents,"For AI agents, trace-driven eval","Grade trajectories: illegal transitions, wasted steps, schema errors, budget hits—not only final answer text."
AI Agents,"For AI agents, write policy for memory","Who writes episodic vs semantic memory, with what TTL, and what is in-context scratch. Unbounded writes become prompt injection and cost."
AI Agents,When is a state machine + LLM better than a free agent?,"When legal/ops requires that certain tools only run in certain states (refund after verify, deploy after tests). The LLM fills slots or classifies; the machine owns transitions."
AWS & S3,"In AWS / S3, FIFO SQS vs skipping idempotency?",FIFO orders a group and dedupes in a window. Downstream side effects can still run twice. Design retries on purpose.
AWS & S3,"In AWS / S3, what is a DLQ for?",Poison messages that fail repeatedly. Isolate them instead of blocking the queue or pretending delivery was exactly-once.
AWS & S3,"In AWS / S3, what must SQS consumers implement?","Idempotency. Visibility timeout expiry and at-least-once delivery mean the same message can be processed twice. A dedupe table or conditional write is part of the consumer, not an optional extra."
AWS & S3,"In AWS / S3, when are cold storage classes a bad fit?",When objects are read or overwritten with tight latency. Retrieval delay and cost dominate; keep hot data on a hot class or a database.
AWS & S3,"In AWS / S3, why a manifest object?",The bucket is not an index. You explicitly store the list of parts/files you would have queried if this were a database.
AWS & S3,"In AWS / S3, why batch events into columnar files for a data lake?",Analytics engines want reasonably sized files and partitions. One-tiny-file-per-event explodes LIST/GET cost and planning time.
AWS & S3,"In AWS / S3, why isn't LIST a job queue?","Listing millions of keys is paginated, easy to duplicate, and costs request money. You will also miss or double-process on eventual listing of fresh objects. Emit an event per object (SQS) or write a manifest."
AWS & S3,Lambda PUT to S3 then timeout before SQS delete — what must be true?,"Replay will happen. Object keys and side effects must be idempotent (deterministic keys, version ids, upserts)."
AWS & S3,S3 ETag / If-Match gives you what — and not what?,"Optimistic concurrency on one key. Not multi-object transactions, not a row store, not a lock service."
AWS & S3,S3 event notifications can duplicate. What do you dedupe on?,Object key plus version/etag (or a business event id). Treat notifications like at-least-once queue messages.
B-tree & LSM,B-tree WAL vs LSM WAL: what is each protecting?,B-tree WAL (or equivalent redo) protects in-place page mutations until checkpoint. LSM WAL protects memtable contents until they are flushed to an SSTable and that file is durable.
B-tree & LSM,"For B-trees and LSM trees, for update-heavy small key sets on LSM, what dominates cost?",Compaction keeps rewriting the same hot keys and their old versions. You pay write amp and tombstone/version churn even though the logical dataset is tiny.
B-tree & LSM,"For B-trees and LSM trees, how do leveled vs size-tiered compaction typically trade amplification?","Leveled keeps key ranges disjoint per level, lowering read/space amp but rewriting more (higher write amp). Size-tiered/universal merges similar-sized files, writing less often but leaving more overlap for reads and scans."
B-tree & LSM,"For B-trees and LSM trees, what causes an LSM write stall?","Ingest outruns flush/compaction: too many memtables or L0 files. The engine throttles or blocks writers until compaction makes room, even if user-thread CPU is idle."
B-tree & LSM,"For B-trees and LSM trees, what is LSM write amplification?","Each key may be rewritten as compaction moves it through levels. You bought sequential ingest and paid extra disk I/O later. Tuning level size, compaction strategy, and reducing churn/tombstones is how you keep amplification in check."
B-tree & LSM,"For B-trees and LSM trees, what is space amplification in an LSM?","Live data plus obsolete versions, tombstones, and temporary extra copies during merge. It stays high until compaction installs the new file and drops the old ones."
B-tree & LSM,"For B-trees and LSM trees, when do bloom filters stop helping?",On wide range scans (files overlap the range anyway) and when the false-positive rate is so high that you still open most SSTables. They help negative point lookups most.
B-tree & LSM,"For B-trees and LSM trees, why do tiny frequent flushes hurt later reads?","They create many overlapping SSTables. Point gets and especially range scans fan out across more files, and compaction must later rewrite that mess."
B-tree & LSM,"For B-trees and LSM trees, why don't Bloom filters save LSM range scans?",A Bloom filter answers 'might this file contain this exact key?'. A range is many keys. You still have to merge overlapping runs. Range-heavy workloads often prefer B-trees for that reason.
B-tree & LSM,Why can a cached B-tree still beat LSM on point gets?,"Internal nodes stay in RAM, so a hit is often one leaf I/O. LSM may still miss on several per-file filters/indexes unless those are also cached and blooms are sharp."
C++,"In C++, what does copying shared_ptr cost?","An atomic increment/decrement on the control block, plus poorer locality. If you don't need shared ownership, unique_ptr or a reference is cheaper and clearer."
C++,"In C++, why is a data race UB, not 'a torn int'?","The C++ memory model gives no meaning to concurrent non-atomic conflicting accesses. Compilers assume it does not happen and may delete checks or reorder around it. Use atomics or a mutex; don't 'just read it, it's one word'."
C++,"In C++, why must destructors not throw?",During unwind there is already an exception. A second throw calls std::terminate. Destructors should release and swallow or std::abort on truly fatal resource failure.
C++,"In C++, why not write a lock-free queue first?","Memory ordering, ABA, and lifetime are easy to get wrong and hard to test. A mutex-protected deque is correct and fast enough for most services. Profile before you invent a queue."
Cassandra,"In Cassandra, LOCAL_QUORUM vs QUORUM in multi-DC: what latency did you buy?","LOCAL_QUORUM waits for a majority in the local DC only, avoiding cross-DC round trips. Cluster-wide QUORUM may wait on remote DCs."
Cassandra,"In Cassandra, read repair vs anti-entropy repair?",Read repair may fix replicas actually touched by a query. Anti-entropy repair walks ranges (including cold data) to reconcile the replica set systematically.
Cassandra,"In Cassandra, what goes wrong with an unbounded partition (millions of clustering rows)?","Compaction, cache, repair, and reads concentrate on one token's huge contiguous data. Streaming and merging that partition can stall a replica."
Cassandra,"In Cassandra, what is a wide partition and why is it an outage?","All rows for a partition key live together and are read/streamed as a unit. Tens of GB for one key means hot nodes, slow repairs, and GC pressure. Bucket the key (user+day) before the partition grows up."
Cassandra,"In Cassandra, why can hinted handoff not replace repair?",Hints cover some missed writes for a limited time and can expire. They do not walk all token ranges or fix every kind of divergence. Repair still required.
Cassandra,"In Cassandra, why do tombstone-heavy slice queries time out?",The replica must scan and skip deletion markers to find live rows. Huge tombstone runs burn CPU/I/O and hit tombstone-failure thresholds before returning data.
Cassandra,"In Cassandra, why does write QUORUM + read QUORUM with RF=3 give a replica overlap?","W+R>RF (2+2>3), so the set of replicas that took the write and the set that serve the read must share at least one node holding the data."
Cassandra,"In Cassandra, why is LWT on a hot partition especially bad?","Paxos serializes proposers per partition. Competing CAS operations on the same key queue behind in-flight rounds, amplifying latency far more than regular quorum writes."
Cassandra,"In Cassandra, why isn't QUORUM a CAS?","QUORUM gives you overlapping replica sets so a read usually sees the latest LWW write, not a linearizable compare-and-set. Two clients can still lose an update to timestamps. Lightweight transactions run Paxos per partition and cost latency for a reason."
Cassandra,"In Cassandra, why must tombstones wait for a gc-grace window?",A replica that missed the delete could otherwise resurrect data once tombstones are gone. Grace gives time for hints/repair to propagate deletes first.
Data Structures & Algorithms,"In data structures and algorithms, BFS frontier vs DFS stack",Wide shallow graphs: BFS queue can explode (social hops). Deep graphs: DFS stack can explode. Bidirectional BFS shrinks the frontier for shortest paths between two nodes.
Data Structures & Algorithms,"In data structures and algorithms, LRU delete/move needs prev",Map to node + doubly linked recency list (or indexed array). Singly linked forces scans. Clock/2Q trade exact LRU for fewer pointer writes — still a layout choice.
Data Structures & Algorithms,"In data structures and algorithms, bloom pays off on negative-heavy traffic","Each 'no' avoids a slower check. Each 'yes' still goes to source of truth, including false positives. Size the filter from n and target error; rebuild or counting variants if deletes matter."
Data Structures & Algorithms,"In data structures and algorithms, heap is not a map","extract-min is fast; find/cancel by id is not unless you add a hash of indices or use a tree. Schedulers, Dijkstra decrease-key, and timers all hit this."
Data Structures & Algorithms,"In data structures and algorithms, how does LRU get O(1) operations?","Hash map: key to list node. Doubly linked list: recency order. On get, splice the node to the front. On miss+full, evict the tail. A heap would be log n and is the wrong recency structure."
Data Structures & Algorithms,"In data structures and algorithms, range query vs point query","Point: hash. Range/predecessor/in-order: tree (in memory) or B-tree/LSM (on disk). Heap only gives you the current extreme, not a range."
Data Structures & Algorithms,"In data structures and algorithms, stable sort as a product feature","Preserve earlier sort keys; keep original row order on ties; merge sorted runs without scrambling equals. If you need a total order, add a unique tie-break instead of hoping."
Data Structures & Algorithms,"In data structures and algorithms, union-find plus extra payload","Keep aggregates on the root (size, min id, XOR, bipartite parity). After find, both nodes share a root so the payload is the component's. Rebuild payload on union."
Data Structures & Algorithms,"In data structures and algorithms, virtual nodes on a hash ring",Many tokens per physical server so ranges are small and mix well. Unequal capacity → proportional token count. Still plan warmup when a token range moves.
Data Structures & Algorithms,"In data structures and algorithms, why virtual nodes on a consistent hash ring?",One vnode per server makes neighbors absorb a huge arc on failure and keeps load lumpy. Many virtual nodes per physical server smooth placement and failover.
DynamoDB,"In DynamoDB, GSI limits you should recite in an interview?","GSIs are eventually consistent, add write amplification, need their own capacity/heat planning, and a low-cardinality GSI PK is as bad as a low-cardinality table PK."
DynamoDB,"In DynamoDB, KEYS_ONLY vs ALL projections?","KEYS_ONLY keeps index writes small; you GetItem the base row after. ALL makes the GSI a fat copy — convenient reads, expensive writes as items grow."
DynamoDB,"In DynamoDB, how can a GSI take down base-table writes?",Each base write that touches indexed attributes must update the GSI. A hot or throttled GSI partition backpressures those writes. Indexes have their own heat.
DynamoDB,"In DynamoDB, table-level capacity looked fine but one key throttled. Lesson?",Throughput is not a shared buffet for every key. Provisioned/on-demand numbers are not a per-key SLA. Fix the key or cache/shard it.
DynamoDB,"In DynamoDB, what is a sparse GSI for?",Only items that have the index attributes appear. You get a small index aligned to a rare access path instead of projecting the entire table.
DynamoDB,"In DynamoDB, when do you actually need a strongly consistent read?","When the next decision cannot accept a replica lag on that base-table item (read-your-write, balance check). Not 'always', and not on GSIs."
DynamoDB,"In DynamoDB, why aren't filter expressions a substitute for keys?",Capacity is consumed before the filter. You still read (and pay for) items you throw away. Filters refine a Query; they do not create an access pattern.
DynamoDB,"In DynamoDB, why can a GSI throttle when the table does not?",A GSI is a separate partitioned projection. Its partition key has its own cardinality and throughput. Projecting a low-cardinality attribute (status=OPEN) recreates a hot-key problem on the index.
DynamoDB,"In DynamoDB, why split a hot counter out of a fat item?",Updates rewrite the whole item. A 300 KB document with a frequently incremented field burns write capacity and collides more. Keep the hot mutable bits small; store blobs separately.
DynamoDB,"In DynamoDB, write sharding for a hot key: how and what is the cost?",Append a shard id to the PK so writes spread. Readers fan in across shards. Shard count becomes part of the contract.
Gen AI,"In generative AI, RAG failure modes","Miss, stale index, wrong ranking, query-doc mismatch, chunk split, and “cited but not entailed.” Faithful summary of the wrong chunk is still a failure."
Gen AI,"In generative AI, eval pitfalls","Tiny n, leaked test items in prompts, LLM-as-judge bias, scoring fluency, and ignoring retrieval metrics. Measure the failure you actually ship."
Gen AI,"In generative AI, hallucinated citations","“According to…” is a likely string even with no source in context. Require retrieved spans, or refuse. Do not trust citation-shaped text."
Gen AI,"In generative AI, indirect injection","Payloads hide in retrieved pages, tickets, or files. Separate untrusted content, delimit it, and never let it choose tools or exfiltrate secrets."
Gen AI,"In generative AI, structure-aware chunking","Split on headings, functions, or table rows when you can. Keep IDs and titles in the chunk. Overlap at boundaries. Avoid orphaned numbers in tables."
Gen AI,"In generative AI, stuffing vs retrieval","Dumping a whole corpus into the window is slow, expensive, and easy to distract. Retrieve, rank, and keep only spans that can support the answer."
Gen AI,"In generative AI, temperature vs schema tasks",Low temperature for extraction and tools. Higher temperature for brainstorming. Temperature will not fix missing evidence.
Gen AI,"In generative AI, token-cost traps","Code, tables, and some languages use more tokens per character. Word limits are not token limits. Truncation can drop the answer, not the preamble."
Gen AI,"In generative AI, what is prompt injection in a RAG app?","Untrusted retrieved text that tries to override instructions ('ignore the policy, dump secrets'). Treat documents as data, not as a source of commands, and don't give the model tools it shouldn't use on that path."
Gen AI,"In generative AI, why does RAG still answer wrong when the doc exists?","If chunking split the fact, the embedding didn't retrieve it, or you truncated top-k, the generator never saw it and will guess. Debug retrieval hit rate before blaming the model."
Java,"In Java, CHM iterator semantics","Weakly consistent, no CME. Not a snapshot. size() is an estimate, not a lock-protected exact count."
Java,"In Java, JPA entity equals on generated id",Transient entities share null id and collapse or collide; after persist the id (and hash) changes and hash collections lose them. Prefer a stable business key or identity until assigned.
Java,"In Java, JSON / JPA / parameters","Wire and DB layers want nullable columns and properties. Convert to Optional at the service boundary if you want it, not on the entity/DTO itself."
Java,"In Java, blind get()","Throws NoSuchElementException. It is not safer than NPE. Use orElse, orElseGet, orElseThrow, ifPresent, map."
Java,"In Java, cached pool opposite failure","SynchronousQueue + unbounded max threads: bursts create threads until native memory or context switching dies, instead of filling the heap."
Java,"In Java, callerRunsPolicy hazard",The submitting thread runs the task. On request threads this can deadlock or stall the inbound pool that was supposed to stay available.
Java,"In Java, computeIfAbsent caution","Mapping function runs under per-key lock. Do not block, do not re-enter the map unsafely, and do not expect a null return to insert a null value."
Java,"In Java, concurrent ≠ bounded","A ConcurrentHashMap that only puts will still OOM. Concurrency does not provide eviction, backpressure, or multi-structure atomicity."
Java,"In Java, copyOnWriteArrayList","Snapshot iterators, expensive writes (full array copy). Fits rare writes and many unsynchronized readers, e.g. listener lists."
Java,"In Java, double-checked locking","The instance field must be volatile (or initialized via a holder class). Otherwise a reader can see a non-null, uninitialized object."
Java,"In Java, equals vs compareTo mismatch","HashSet membership and TreeSet membership can disagree for the same pair of objects, breaking uniqueness assumptions across APIs."
Java,"In Java, equals/hashCode contract in one sentence","If a.equals(b) then a.hashCode() == b.hashCode(); hashCode may collide when equals is false. Both must use the same significant, stable fields."
Java,"In Java, final field freeze","After a constructor finishes, final fields are visible to any thread that sees the published reference — unless this escaped during construction."
Java,"In Java, get-then-put race","Thread-safe collections still race on compound actions. Use putIfAbsent, compute, merge, or an external lock around the invariant."
Java,"In Java, getClass() vs instanceof in equals",getClass() rejects subclasses and protects transitivity for map keys. instanceof allows mixed-type equality and needs a canEqual pattern to stay safe.
Java,"In Java, happens-before meaning","A JMM relation: if A HB B, then A's memory effects are visible to B and A is ordered before B. Wall-clock time is irrelevant."
Java,"In Java, humongous / large object path","Objects that do not fit in the nursery are allocated directly in old or a large-object space, so they never get a cheap death in eden."
Java,"In Java, isPresent/get loop",Reverts to null-check style. Chain filter/map/flatMap and terminate with orElse/orElseThrow so absence has one path.
Java,"In Java, iteration rule for synchronizedMap",Manually synchronize on the map for the whole iteration. Otherwise you race writers and can get ConcurrentModificationException.
Java,"In Java, legal but useless hashCode","Returning a constant satisfies the contract and puts every key in one bucket, making HashMap/HashSet linear and contention-heavy."
Java,"In Java, log signals of promotion trouble","High promotion bytes, survivor overflow, rapidly rising old occupancy, then mixed/full GCs — not just 'GC happened'."
Java,"In Java, monitor HB",Unlock of monitor M happens-before a later lock of the same M. Both sides must use the same lock; one-sided synchronized does not publish.
Java,"In Java, naN in equals",A field that is NaN makes a.equals(a) false if you use ==. That violates reflexivity and poisons every hash collection.
Java,"In Java, nested Optional",map() on a function that returns Optional produces Optional<Optional<T>>. Use flatMap. Do not return Optional of an empty collection.
Java,"In Java, newFixedThreadPool queue",Unbounded LinkedBlockingQueue. Tasks are never rejected; they accumulate in heap. maximumPoolSize is effectively ignored.
Java,"In Java, no sync edge",A plain field write may never become visible to another thread. Compilers and CPUs are allowed to keep it in a register or store buffer.
Java,"In Java, nulls","CHM forbids null keys and values. synchronized HashMap allows them, which confuses missing vs null and breaks a later CHM migration."
Java,"In Java, nursery size tradeoff","Larger young gen lets request objects die before tenuring but makes each young pause copy more. Tune from promotion rate and pause budget, not folklore."
Java,"In Java, of vs ofNullable",of(null) throws NPE. ofNullable(null) is empty. Use of only when the value is known non-null.
Java,"In Java, optional as a field","Extra allocation per instance, and the field reference itself can be null — two absences. Store a nullable T (or a sentinel) instead."
Java,"In Java, orElse vs orElseGet","orElse always evaluates its argument. orElseGet runs the supplier only on empty. Never put RPC, logging, or allocation in orElse(...)."
Java,"In Java, premature promotion","Short-lived objects tenure because eden/survivors are too small, the tenuring threshold is too low, or the object is too large. Result: old-gen GC churn."
Java,"In Java, promotion failure",Old generation has no contiguous room (often fragmentation). Young GC cannot tenure and the collector escalates to a full or concurrent-mode-failure collection.
Java,"In Java, safe production pool","Bounded queue, explicit max threads, Abort (or a carefully chosen) handler, timeouts that include queue wait, and metrics for queue depth and wait."
Java,"In Java, start and join","start() HB the first action of the new thread. Termination HB a successful join(), so the joiner sees the worker's writes."
Java,"In Java, survivor overflow","Live young objects do not fit in survivor space, so the collector promotes them in bulk during a young GC."
Java,"In Java, synchronized wrappers vs CHM",synchronizedMap/List lock the entire collection per call. ConcurrentHashMap allows concurrent reads and striped writes. Wrappers do not make iteration atomic.
Java,"In Java, timeout vs queue wait","Task timeouts usually start at run(), not submit(). Unbounded queues hide minutes of wait that no downstream timeout sees."
Java,"In Java, unbounded queue outage signature","Success rate stays high, latency and heap climb, GC thrashes, then OOM. Workers look 'busy but healthy' at core size."
Java,"In Java, visibility vs atomicity",volatile/HB publish values. They do not make read-modify-write atomic. Counters and check-then-act still need atomics or locks.
