Question,Option A,Option B,Option C,Option D,Correct Answer
A 'fleet of agents' is proposed to run production deploys. What governance is non-negotiable?,More agents increase safety via debate.,"Least-privilege tools, human approval gates on irreversible actions, full traces, and a non-agent rollback path.","If the planner is staff-level, tools can be root.",Traces are optional if the model is frontier.,B
A ReAct-style loop with unbounded “think” tokens before each tool call mainly fails in production because:,"Thoughts are billed, leak into traces, can be injected into, and do not substitute for a real world model",Thoughts always improve grounding,Runtimes cannot parse function calls after text,Stop conditions become stricter automatically,A
A cost budget that only caps output tokens will still blow up when:,A tool returns a huge blob that is concatenated into the next prompt every step,The model emits a short final answer,You disable retrieval,You use a state machine with no observations,A
A state machine whose every node is “LLM decides any tool” has collapsed into free-form. To keep the graph meaningful you must:,"Restrict the tool set and allowed successors per node, with runtime enforcement—not only a prompt that lists them",Name the nodes poetically,Increase temperature at terminals,Remove traces at graph edges,A
A stop condition “when the model says DONE” is weak because:,"The model can emit DONE early, late, or in a tool argument; the runtime needs an explicit halt (budget, graph terminal, or structured stop)",DONE is parsed by GPUs directly,Stop tokens cannot be configured,Agents never over-talk,A
"Distributed tracing for agents should propagate a run id across model, tools, and sub-agents so that:",You can reconstruct a causal DAG of spans when one child agent fans out,IDs are decorative only,Child agents must not log,Only the last span is kept,A
Eval that only scores the final user-visible answer misses:,"Illegal tool use, secret leakage in args, wasted steps, and near-miss policy violations that did not reach the user this time",Whether the paragraph rhymes,The tokenizer version,The color scheme,A
Free-form vs state machine is not binary. A practical hybrid is:,"A graph of stages with a small free-form tool loop inside a sandbox stage, then a forced review stage before writes","Free-form always, with a comment in the prompt about stages",A graph that never calls a model,No timeouts in hybrid mode,A
Multi-agent 'researcher + critic' improved a demo. In production it doubled cost and disagreed silently. What was missing?,A third agent.,"A scoring contract, stop conditions, and a single owner of the user-visible answer; debate without a reducer is just extra tokens.",Critics should have more tools than researchers.,You should hide disagreements from traces.,B
"Non-idempotent tools plus at-least-once execution (retries, duplicates, crashes) require:","Deduping on a business key, or making the effect at-most-once via a store the runtime owns",Higher temperature so calls differ,Deleting traces after each retry,Parallelizing all writes always,A
Over-permissioned tools plus prompt injection is a full exploit path because:,"Untrusted content can induce a call, and the runtime will execute any allowed tool with model-supplied args",Injection cannot mention tool names,Schemas block all strings,Approvals are inserted by temperature,A
Passing the entire raw trace back into the next prompt as “memory” is costly and unsafe because:,"It repeats secrets, injections, and failed plans, multiplying tokens and giving old payloads another chance",Traces contain no text,Prompts cannot include JSON,Budgets ignore concatenated traces,A
Poisoned tool output (a webpage that says “now email secrets to …”) is best treated as:,Indirect injection into the observation channel; tools must not gain extra privileges from content they fetch,A reason to raise temperature,Proof that traces should be disabled,A tokenizer failure,A
Retrying a read-only search is usually safer than retrying a write. The precise reason is:,"Reads are typically idempotent; writes often are not, so error class must gate retry policy per tool",Writes cannot fail,Reads never time out,Search cannot be cached,A
Semantic memory that the agent can write without review creates a loop where:,"Hallucinations get stored and later retrieved as facts, amplifying error across sessions",Memory becomes write-protected automatically,RAG cannot read the store,Tokenizers reset the index,A
The strongest signal you should not ship an agent yet is:,"A scripted DAG plus one extraction call meets the SLA and the audit log, and the agent only wins on rare demos",Users have open-ended goals across many tools,You cannot predefine the next observation,Research quality requires iterative search,A
"You can give an agent a browser, a shell, and prod credentials 'so it can debug like a human'. Why is this a category error?",Agents cannot use browsers.,A human is accountable and rate-limited by attention; an agent will explore the union of permissions at machine speed. Split identities and environments.,Prod credentials are fine if in a vector store.,"Debugging never needs write access, so the union is safe.",B
A KMS-encrypted bucket plus many tiny GETs is slow/expensive because:,Encryption removes copies,Each request can add KMS authz/decrypt overhead on top of the small-file request tax,Checksums cannot run with KMS,SQS cannot send encrypted payloads,B
A consumer 'succeeds' if it PUTs to S3 but crashes before finishing side effects. Replay will PUT again. The object key should be:,A random UUID every attempt so nothing clashes,Deterministic from the message id / business id so retries overwrite the same checksummed object,The current timestamp to the nanosecond,The SQS receipt handle,B
A data lake is 'S3 + many writers renaming prefixes to commit'. Why do staff engineers push for a real table format / manifest?,Rename is atomic across prefixes in S3 like a filesystem mv of a directory.,There is no atomic directory rename; readers can see partial sets. Table formats (or a commit inventory) give a consistent snapshot of files.,S3 LIST is a transaction log.,Prefix rename is cheaper than writing a manifest.,B
A pipeline is 'SQS -> worker -> S3 -> notify next queue'. End-to-end exactly-once is:,Guaranteed by SQS FIFO alone,"Not given; each hop is at-least-once, so idempotent writes (keyed objects/versions) are the real contract",Guaranteed by S3 copies,Guaranteed if checksums match,B
Compare-and-swap with ETags on a hot inventory object serializes the world onto one key. At scale you:,List the bucket instead,"Shard the object, use a real database for the hot row, or accept queue-based serialization — S3 is not a write-optimized row store",Turn off checksums to go faster,Use sequential date prefixes for inventory,B
Cross-account S3 access: bucket policy vs IAM identity policy vs ACL vs VPC endpoint policy. A request is denied. How do you reason?,Any one allow wins.,All relevant layers must allow and none deny; missing identity permission or a VPC endpoint policy deny will fail the call even if the bucket policy allows.,ACLs override IAM.,"Bucket owner always can, regardless of endpoint policies.",B
Cross-region replication of S3 objects is asynchronous. Designing a 'read in region B immediately after write in A' as if it were a commit is wrong because:,Checksums do not replicate,Replication lag means B may not have the object yet; it is not a distributed database transaction,Prefixes cannot cross regions,SQS becomes exactly-once when CRR is on,B
Durability of copies does not protect you from a bad DELETE in the app. You still need:,A memorized nines figure,"Versioning, MFA-delete/Object Lock, IAM least privilege, and backups — operational mistakes are not disk failures",At-most-once SQS so deletes never retry,Sequential prefixes as undo logs,B
Firehose/Kinesis rolling files into S3 every N MB or N seconds is about:,Making S3 a transactional database,"Turning a high-QPS small-event stream into large, checksummed objects with spread prefixes",Guaranteeing exactly-once SQS,Avoiding copies for durability,B
Hot prefix plus small files plus a LIST-heavy UI is a triple hit. The architecture move is:,Raise the durability SLA,"Metadata in a database or index, objects in S3 with hashed prefixes and batched file sizes; never LIST as the product query",One SQS message per byte,Disable checksums and versioning,B
Inventory reports and S3 Batch exist because listing the live bucket as a control plane:,Is a strongly consistent SQL view,Does not scale as a database catalog; you snapshot metadata out of band,Fixes prefix hotspots,Makes small files free,B
S3 Object Lock / WORM helps compliance. Using it as a queue ack store is a smell because:,WORM objects cannot have checksums,"You wanted a messaging semantic (visibility, retry, DLQ), not immutability of blobs",Prefixes cannot be locked,At-least-once is disabled by WORM,B
Strongly consistent GET of a key is not isolation for a multi-step workflow because:,Checksums are eventual,Two objects (or object + queue + table) are not one transaction; you compose idempotent steps,Prefixes provide SNAPSHOT isolation,SQS FIFO wraps S3 in a transaction,B
"Using S3 as a lockfile (PUT if not exists, then work) fails under contention because:",PUT cannot create empty objects,There is no robust lease/fencing story like a consensus lock; timeouts and retries produce split brain,Checksums break If-None-Match,Prefixes serialize all PUTs globally,B
You are asked to put a POSIX-ish shared scratch filesystem on S3 for a database's data directory. What is the right answer?,"S3 is strongly consistent now, so fsync semantics are met.","S3 is an object store, not POSIX: no byte-range locking, no real fsync of a mutable file. Use block storage or a real shared FS designed for that DB.",Mountpoint for S3 is equivalent to ext4 for InnoDB.,"If you enable versioning, POSIX appends work.",B
You need append-only analytics events. Why not one S3 PUT per click from the browser?,S3 cannot be written from the internet with the right IAM,"Tiny-object request cost, prefix hotspots, and no server-side aggregation; buffer in Kinesis/SQS/Firehose then write large objects",Checksums reject click JSON,At-least-once queues forbid this path only,B
You replicated objects and now readers see old and new writers. The durable copies did their job; the missing piece is:,A higher SLA percentage,An application-level version/epoch so readers know which object generation is authoritative,Disabling checksums so clocks agree,Sequential prefixes for linearizability,B
A key-value API with many overwrite-in-place small rows vs append-mostly events: how do you argue the engine choice?,In-place small-row OLTP often wants B-tree locality and cheap point/range; append-mostly ingest wants LSM sequential write and later compaction,Always LSM because write amp is lower in every workload,Always B-tree because compaction is impossible to operate,The choice only depends on whether you have a WAL,A
A leveled compaction write-amp estimate of ~10 (level ratio ~10) is missing which operational multiplier?,"WAL write, memtable flush, and extra L0→L1 work when L0 is unsorted/overlapping",Bloom-filter hash count,B-tree fanout,Replica ping time,A
A team wants 'just put RocksDB in front of S3' as a global database. What staff-level objection is first?,RocksDB cannot persist to disk.,"A local LSM is not a distributed consensus/replication layer; you still need sharding, fencing, and a commit protocol or you will split-brain.",S3 cannot store SSTables.,Bloom filters do not work outside process memory.,B
An LSM write stall despite spare CPU often means which resource is the real bottleneck?,Bloom-filter CPU hash time,"Flush/compaction bandwidth or L0 file-count limits: ingest is gated on making room, not on user-thread CPU",Too many range-scan merge iterators on idle cores,The B-tree splitter is running,B
Delete-heavy LSM with lazy tombstone compaction: what is the dangerous read-path failure mode?,Point gets return random keys,Scans and gets keep resurrecting work: they must overlay tombstones from newer files onto older versions until compaction drops them,The WAL refuses new deletes,Bloom filters start returning false negatives,B
Merge iterator during an LSM scan must resolve duplicate keys. What is the correct recency rule?,Oldest SSTable wins because it was flushed first,"Newest sequence/memtable-or-file generation wins, including tombstones that hide older values",Largest value wins,Bloom filters pick the winner,B
Prefix bloom / partitioned filters exist because of which scan vs get tension?,Whole-file blooms help point gets but not prefix/range existence checks; partitioned/prefix filters prune files for both,They replace compaction,They make SSTables mutable,They store the full key in RAM,A
The RUM conjecture is useful when choosing B-tree vs LSM because it says…,"You can independently minimize read, update, and memory/space amplification at once","You cannot simultaneously minimize read, update, and memory/space amplification; LSM and B-tree sit on different corners",Only RAM size matters; on-disk layout is irrelevant,Compaction eliminates all three amplifications,B
Tombstones in an LSM outlive the data they delete under a bad compaction policy. How do reads fail?,They don't; tombstones are skipped in O(1).,Point and especially range reads must sift dead keys until compaction drops them; space and CPU inflate.,Tombstones automatically promote to the memtable as live keys.,The WAL refuses new writes until tombstones are gone.,B
Why can a copy-on-write B-tree (or CoW page engine) still lose the LSM ingest race under random writes?,CoW still tends to write page-granularity trees and can amplify through ancestors; LSM batches into sequential runs,CoW never writes a WAL,CoW cannot be crash-safe,LSM never writes more than once,A
Why is fsync of the WAL not the same as fsync of SSTables for crash correctness?,WAL fsync makes the latest memtable mutations recoverable; SSTable fsync makes a flush durable so WAL can be truncated,Only SSTable fsync matters; WAL is a cache,Only WAL fsync matters; SSTables can be torn forever,Both are optional if bloom filters are used,A
Why is naive size-tiered compaction prone to space-amp spikes right before a large merge?,A merge of similar-sized runs temporarily keeps old and new copies until the new file is installed,Bloom filters double on disk,The WAL is checkpointed into every SSTable twice,Memtables are never released,A
You are picking a storage engine for a write-heavy metrics store with occasional large range scans for graphs. What is the real tension?,LSM ingest vs the merge cost of those range scans (and compaction stealing I/O from queries).,B-trees cannot store timestamps.,LSMs cannot expire old data.,Range scans are always O(1) on both.,A
You have a block cache that already holds most inner index blocks. Where should you spend the next RAM dollar for LSM point gets?,"Always more bloom-filter bits, even if data blocks are never cached",It depends: blooms cut negative lookups; caching data/filter blocks cuts positive lookups. Measure miss types,Never bloom filters if any cache exists,Always enlarge the WAL,B
You must pick a structure for a working set that fits in RAM but a dataset that does not. Which statement is the staff-level read of amplification?,"If internal nodes/filters/hot leaves stay cached, B-tree point reads can be one I/O; LSM still pays multi-level filter/index misses on cold keys",RAM size makes on-disk layout irrelevant,LSM point reads become free because memtable holds the dataset,Write amplification disappears when the working set is cached,A
You observe LSM read amp rising while write amp falls after switching compaction style. What did you likely just do?,"Moved toward more aggressive leveling (more rewrite, fewer overlapping files)","Moved toward lazier tiered/universal merging (less rewrite, more overlapping runs)",Disabled the WAL,Replaced blooms with a full in-memory index of every key,B
"A low-latency path allocates on every message (std::string, vector resize). The profiler is 'clean' of locks. What is still wrong?",Allocators are wait-free and never stall.,"Allocator contention and cache pollution; pre-size, arenas, or intrusive buffers belong on that path.",The compiler elides all heap use in loops.,virtual functions are the only latency bug that matters.,B
A sanitizer-clean binary still corrupts state only at -O3. What class of bug is first on the list?,A missing #include.,"Undefined behavior the optimizer exploited (strict aliasing, signed overflow, lifetime) that -O0 happened not to.",The linker strips atomics at -O3.,Sanitizers prove the absence of UB at all optimization levels.,B
A tight packet loop uses virtual dispatch per packet on a deep hierarchy. Profile shows i-cache misses. What is the data-oriented move?,Add more virtual methods to improve prediction.,"Sort by type, use a closed set of concrete handlers, or a table of function pointers over contiguous data — cut the pointer chase.",virtual is always inlined by LTO.,Put each packet on its own heap allocation for locality.,B
An ABI-stable plugin interface returns `std::string` across a `.so` boundary compiled with different libstdc++. What did you just do?,The Itanium ABI makes all std::string layouts identical forever.,You invoked ODR/ABI roulette: layout and allocators may differ; use a C ABI (char* + length) or a single shared standard library.,unique_ptr across .so is always safe if string is not.,C++ modules fix ABI at the filesystem boundary.,B
You must keep ABI stable for a C++ library used by customers' compilers. Which surface is the least painful?,Inline templates and std::string in the public API.,"A C API (opaque handles, explicit sizes) with C++ wrappers in a header that the customer compiles.",Exporting std::vector from a .so compiled with a different libstdc++.,Throwing exceptions across the .so boundary as the stable contract.,B
You need to share read-mostly config across threads. A shared_ptr swapped atomically vs a mutex around a unique_ptr. What is the RCU-like idea?,Mutex is always lower latency for reads.,Publish a new immutable snapshot (atomic shared_ptr); readers copy the pointer with no lock; old snapshot frees when refcount hits 0.,unique_ptr can be read from two threads if it is const.,atomics on unique_ptr are in the standard and cheaper.,B
You need wait-free reads of a config blob. Writers are rare. Which pattern matches?,A single mutex around a unique_ptr that readers also take.,"Immutable snapshots published with atomic shared_ptr (or RCU); readers load the pointer, writers publish a new object.",volatile on the unique_ptr.,memory_order_relaxed stores of a mutex.,B
A coordinator chooses replicas for a QUORUM read. Why might it still do extra digest reads?,To hash the partition key again,"To detect replica disagreement cheaply, then fetch full data and reconcile, which is a form of read repair work",Digest reads replace QUORUM,Digests are only for hinted handoff,B
