Question,Correct Answer
Agent as last resort,"Ship the cheapest reliable machine: software, then one LLM call, then a graph, then a free-form loop. Each step up spends reliability."
Confused-deputy tools,"Injection + a powerful tool is RCE-shaped. Scope credentials per tool, per tenant, per environment. Confirm irreversible calls."
Control plane vs language,"Tools, graphs, budgets, and validators are the control plane. The model proposes. If a constraint matters, do not leave it in prose."
Hybrid graph + inner loop,"Outer state machine for policy. Inner bounded loop for local search. Terminal nodes for writes. Runtime halt, not “please stop.”"
Memory write amplification,"Unreviewed writes turn one hallucination into future retrieval “truth.” Version, gate, and decay memory."
Observation inflation,Huge tool payloads dominate tokens and can hide the goal. Store blobs by reference; put summaries in context with a hard cap.
Observation injection,"Tool results are an attack surface. Sanitize, delimit, and never let fetched text expand the allowed tool set."
Trajectory metrics,"Illegal transition rate, retry density, tokens per successful task, time-to-halt, secret-in-args rate. Final accuracy hides these."
What is non-negotiable for an agent that can change prod?,"Scoped credentials, allowlisted tools, human approval on irreversible steps, traces you can audit, and a rollback path that does not need the agent. Treat it as an untrusted intern with a terminal."
What makes multi-agent debate fail in production?,"Cost without a reducer. If two agents disagree, something must pick, score, or escalate. Otherwise you paid 2× tokens for a random winner. Define the contract before adding a critic."
Browser PUT per click to S3 — why not?,"Tiny-object tax, prefix heat, no aggregation. Buffer in a stream/Firehose/queue, then roll large checksummed objects."
CAS on one hot S3 inventory object?,"Serializes the world onto a blob store key. Shard, use a database for the hot row, or queue the writes."
"Copies protect disks, not DELETE in the app. Then what?","Versioning, Object Lock/MFA-delete, tight IAM, and backups. Operational deletes are not the same failure mode as bit rot."
Deterministic object keys on retry — why?,"If the consumer PUTs then crashes before ack, replay should overwrite the same key, not create duplicate random objects."
End-to-end exactly-once through SQS and S3?,"You don't get it. Each hop is at-least-once. Idempotent, deterministic object keys are the contract."
How do you debug a denied S3 request?,"Identity policy, bucket policy, ACLs (legacy), SCP, and VPC endpoint policy all have to allow. A deny anywhere wins. 'The bucket policy looks open' is not a diagnosis."
Is cross-region replication a commit?,No. It is async. Region B may not have the object yet. Not a multi-region database transaction.
S3 as a lockfile — why does it split-brain?,No robust lease/fencing. Timeouts and retries let two workers both believe they hold the lock. Use a real lock/consensus service.
Strong GET of one key vs workflow isolation?,One object read is not a transaction across object + queue + table. Compose idempotent steps with explicit versions.
Why do data lakes need a commit protocol?,S3 does not atomically swap a directory of files. Readers listing a prefix can see a mix of old and new. Iceberg/Delta/Hudi or a manifest file is the transaction log the object store does not provide.
How do LSM tombstones become an outage?,"Deletes are data until compaction drops them. If TTL/delete volume outruns compaction, reads scan graves and disk fills. Time-window compaction and bounded tombstone lifetimes are workload-specific, not defaults you ignore."
How does the RUM conjecture frame B-tree vs LSM?,"You cannot minimize read, update, and memory/space amplification together. B-trees lean toward cheaper reads/locality; LSM leans toward cheaper updates/ingest; each inflates the other dimensions."
How must an LSM merge iterator treat duplicates and tombstones?,Newest sequence/generation wins. A newer tombstone hides older values until compaction drops both. Oldest-file-wins would resurrect deleted data.
"If write amp falls and read amp rises after a compaction-policy change, what happened?","You likely moved toward lazier tiered/universal merging: fewer rewrites, more overlapping runs. The inverse move (more leveling) raises write amp and cuts read amp."
Why can CoW B-trees still lose the random-ingest race to LSM?,CoW still tends to copy page-granularity nodes and ancestors. LSM batches many random keys into sequential runs; it defers random I/O into compaction instead of paying it on the user write.
Why do prefix/partitioned blooms exist?,A whole-file bloom only answers 'is this exact key maybe in the file?' Partitioned/prefix filters can prune files for prefix or range existence without merging every overlapping run.
Why is 'write amp ≈ level ratio' an underestimate for leveled LSM?,"It ignores WAL, flush (L0), overlapping L0→L1 compaction, and any rewrites from deletes/updates. Operational write amp is those layers multiplied, not just per-level merge."
Why isn't 'RocksDB + S3' a database?,"You have a very good local engine. You still need replication, membership, fencing, and a commit protocol. Object storage is a persistence target, not consensus. People who skip this invent split brain."
"Why must SSTable fsync and WAL fsync both happen, at different times?",WAL fsync makes the latest acknowledged memtable mutations recoverable. SSTable fsync makes a flush durable so the WAL can be truncated; skipping either breaks crash correctness.
You have RAM for either extra bloom bits or extra block cache. How do you choose?,Measure miss type. Extra bloom bits cut SSTable probes on negatives. Cache helps positive lookups and index/data blocks. There is no universal winner.
How do you keep a C++ library ABI stable?,"Don't put STL types or exceptions in the public .so surface. Export a C API with opaque pointers, and give customers a header-only C++ wrapper they compile themselves."
How do you publish read-mostly config to many threads?,Immutable snapshot + atomic shared_ptr (RCU-style): writers allocate a new object and swap the pointer; readers load the pointer and use it without a mutex. Old snapshots free when the last reader drops.
Why can -O3 reveal bugs sanitizers missed at -O0?,Undefined behavior lets the optimizer delete checks and reorder around a race or aliasing violation. The 'working' debug build was luck. Build with sanitizers and also test optimized binaries.
Why is a C ABI the default plugin boundary?,"std::string, exceptions, and STL layouts change across compilers and library versions. A C API (buffers, error codes) is stable. You can wrap it in C++ on each side."
"Besides round trips, where does LWT cost show up in storage?","Paxos promise/commit state is persisted per partition, adding extra writes, contention on that key, and more compaction—not just extra network hops."
Do hints count toward QUORUM?,"No. QUORUM needs live replica acknowledgements. If two of three replicas are down at RF=3, QUORUM writes fail; hints cannot vote in their place."
How does partition bucketing trade one problem for another?,user_id+bucket spreads writes across tokens (fixes hot/wide partitions) but reads of the full entity become scatter-gather with app-side merge/limit.
LWW vs LWT for concurrent updates: what is lost without LWT?,"Last-write-wins picks a timestamp after the fact, so two RMWs can both read the same base and one update disappears. LWT agrees on the CAS before commit."
What does LOCAL_QUORUM actually promise?,"A quorum in the local DC, not a global latest. Other DCs can be behind until repair or replication catches up. Users who fail over DC without a consistency story will see time go backwards."
What is the first staff flag on 'one partition per tenant'?,"Tenant skew becomes hot/wide partitions. A noisy tenant dominates compaction, repair, and replica CPU with no token isolation from others."
What resurrection scenario must staff operators keep in mind?,"A replica stays down past gc grace, tombstones drop, then repair/bootstrap copies the stale live rows back. Deletes vanish because the markers are gone."
Why can EACH_QUORUM be worth its latency?,"It requires a quorum in every DC, so a DC that was partitioned cannot accept a write that the other DCs will never see, which LOCAL_QUORUM can allow."
Why is W+R>RF not the same as linearizability?,"It only argues replica-set overlap for a single write/read pair. Concurrent RMWs, LWW timestamps, per-DC CLs, and partial failures can still lose updates. Use LWT/SERIAL when you need CAS."
Why is global uniqueness a Cassandra anti-pattern at scale?,"Enforcing 'only one of this email' needs consensus on that key. LWT does it with Paxos per partition, which is slow and hot. A database with a unique index, or an allocation service, is usually the honest design."
Bloom overfill and the security misuse,"Over-inserting → bits fill → almost every query is 'yes.' For denylist/allow decisions, 'maybe' is not an answer unless an exact check follows. Deletes need a different filter."
Compose structures for the real API,Scheduler: heap + hash (cancel). LRU: hash + list. Kruskal: sort/heap of edges + union-find. Cache cluster: consistent hash + local LRU + Bloom negative cache. One textbook type is rarely the product.
Directed vs undirected connectivity,"Union-find = undirected components. Shortest hops = BFS (unweighted) or PQ (weighted). Directed cycles = reachability/topo, not disjoint sets. Pick the invariant, then the structure."
"Hash shards keys, not QPS","One hot key hashes to one owner. Consistent hashing, trees, and heaps do not split that key. Replicate it, split by a finer workload key, or keep it in a special cache."
LRU policy vs LRU structure,The map+list is O(1) recency. The policy still fails on scans and one-hit wonders. ARC/2Q/W-TinyLFU change who gets evicted without changing 'we need a dictionary.'
Locality is the real 'complexity' of lists,"Node-per-element structures lose to arrays, rings, CSR graphs, and slab buffers because of cache, TLB, allocator, and prefetch. Use links when identity and splice truly dominate scans."
Ring vs Rendezvous vs % N,"% N reshuffles everything. Ring + vnodes: local moves, watch load lumps. Rendezvous/HRW: per-key max score, natural weights, no vnode explosion. None of them move payload bytes for you."
Stability as an extra sort key,Heap merge and many in-place sorts are not stable. Encode original index / run id in the comparator. Multi-key sorts are either one composite compare or stable passes from last key to first.
Token bucket vs sliding log for rate limits?,"Token bucket: constant memory, cheap, slightly bursty. Sliding window log: closer to 'N per real second', stores many timestamps, shards poorly. Most global limiters pick an approximate bucket and enforce it at the edge."
When is a trie the wrong autocomplete?,"When you need ranking, typos, freshness, and a dictionary that updates without rebuilding a giant heap object. An inverted index with prefix/edge n-grams is operationally boring and wins."
Analytics via live Scan vs export?,Export/offline pipeline isolates heavy reads from online partitions. A 'nightly Scan' still competes for the same capacity and can starve production.
Cache in front of a hot DynamoDB key: remaining risks?,"Misses, TTL expiry, and stampedes refocus load on the same key. Writes still hit DynamoDB. Cache is a read valve, not a new partition key."
Global tables vs strongly consistent reads?,Strong read is a regional guarantee on the base item. Global tables replicate asynchronously across regions — not one worldwide strongly consistent copy.
Single-table design in one sentence?,Precompute access paths into item collections you can Query; not 'one table to save money' and not an excuse to Scan entity types together.
Time-series PK = today's date: why is it a hotspot?,All of today's ingest hits one key. Shard by device/customer/time-bucket+shard so writes spread; do not concentrate 'now' on a single PK.
What does a DynamoDB transaction buy you — and not buy you?,"Atomic all-or-nothing across a small set of items in a region. Not global linearizability, not unbounded size, not a substitute for good keys."
What still limits on-demand during a hot-key event?,"On-demand removes most capacity planning, not physics. One partition key has a throughput ceiling. Famous items need caching, write sharding, or isolation."
Why can't adaptive capacity save a celebrity key?,"It can shift spare throughput toward a busy partition, but one partition key is still one bottleneck. Popular item => shard, cache, or change the pattern."
Why don't request-path joins belong in DynamoDB?,"There are no server-side joins. You issue multiple queries, assemble a non-snapshot, and often add GSIs that create new hot keys. Duplicate data per access pattern or use a join-capable store."
Why not embed an unbounded child list on the parent item?,"The parent races toward 400KB, every child write rewrites the fat item, and you cannot Query a slice. Model children as SK range under the parent PK."
Chunking against the grain,"Embedding-similarity splits can glue boilerplate and break specs. Prefer document structure; put keys, titles, and units inside the chunk."
Cited ≠ supported,"A top chunk can be on-topic and still not entail the claim. Score span-level entailment, not the presence of a bracketed ID."
Context cost compounding,Each turn typically processes system + retrieval + history. Prefix caching helps identical heads. Naive “keep everything” is a quadratic-feeling bill.
Exposure bias and hallucination,Train on gold prefixes; infer on your own tokens. Small early errors make false but likely continuations. Nothing in the loop verifies the world.
Fine-tune vs RAG vs prompt (decision),Prompt: policy of the task. RAG: changing or citable facts. Fine-tune: stable skill/style under a token budget. Mixing them up wastes money and still hallucinates.
Injection as a confused-deputy problem,"Untrusted text and trusted instructions share one context. Delimit, minimize privileges, and require out-of-band confirmation for side-effecting tools."
Judge-model pitfalls,"Self-preference, verbosity, position, and identity bias. Blind the judge, control length, mix human gold, and keep a frozen eval set."
Tokens as the real capacity unit,"Windows, bills, and truncation are token-based. Words, pages, and characters will lie—especially for code and non-English text."
Why hybrid search for SKUs and error codes?,Dense embeddings smear rare tokens. BM25/keyword still finds `ECONNRESET` and `SKU-9F3`. Combine scores; don't expect vectors to be a primary key lookup.
Why not fine-tune on support tickets containing PII?,Training data can be extracted from weights. Deletion becomes 'retrain the model'. RAG over an access-controlled store lets you delete a ticket and it is gone.
When are GC flags not the answer?,"When the live set is huge because the heap is a cache. You will pay pauses or RAM. Split instances, move cache off-heap or to Redis, and size heaps to the working set you can collect."
Where should graceful shutdown live?,"In the framework lifecycle and preStop, with a timeout less than terminationGracePeriodSeconds. Shutdown hooks racing SIGKILL are how you drop in-flight work."
Control-plane load from 'app' misconfig,"Probe flaps, status spam, huge CRDs/Secrets, per-pod objects with high churn. You will see API latency and etcd fsync saturation before you see 'the Deployment is slow.'"
HPA/VPA/PDB/CA as one budget,"HPA wants replicas, VPA wants restarts/resizes, PDB wants a Ready floor, cluster autoscaler wants to drain. If requests fill every node, nothing voluntary can move. Design headroom."
Image identity that CI and cluster agree on,"Record image@sha256 in the PodSpec. Webhooks that rewrite :latest must run on kubectl, operators, and CI alike. Mixed pull policies across nodes produce split-brain binaries."
PV lifecycle traps,Retain: Released PV needs manual claimRef clear to reuse. Delete: provisioner destroys data. WaitForFirstConsumer vs Immediate. RWO attach to one node. tmpfs emptyDir counts as memory against the limit.
Readiness must describe the data path,"Include sidecars, listen ports, and warmup. App /healthz 200 while the proxy is down still blackholes Service traffic. Flappy readiness also churns EndpointSlices in etcd."
StatefulSet + PDB + PVC during drain,Identities and disks do not surge. PDB must protect quorum (e.g. majority of members Ready). RWO volumes pin AZ/node; drains need replacement capacity in the same topology.
What happens when etcd is too big or too hot?,"The API server is a strongly consistent bottleneck. Slow etcd means slow watches, delayed pod status, and scary control-plane elections. Treat object size/count as a budget; don't store blobs in annotations."
Why must admission enforce requests on dedicated nodes?,"A taint/selector without requests still lets BestEffort pods schedule there and get OOM-killed or eat CPU. Multi-tenant isolation is a policy you enforce, not a wiki page."
startupProbe vs lying with delayed liveness,startupProbe disables liveness/readiness until boot succeeds (with its own failure budget). A long initialDelay on liveness is a cruder version and still leaves a dead-during-delay window.
terminationGracePeriodSeconds includes preStop,"Clock starts at deletion. preStop sleep + app drain must fit. Fail readiness first so Endpoints drop while you still serve in-flight. Then SIGKILL is a last resort, not the plan."
How do join-based multi-table updates acquire surprisingly wide next-key locks?,"Locks follow the actual access method: whichever index and range the optimizer scans, including extra gaps if it is not a unique PK point lookup. Rewriting to precise PK updates shrinks lock ranges and deadlock surface."
How do you scale InnoDB writes when one primary is CPU-bound?,Reads can go to replicas; writes cannot. You shard the write key across primaries (or move that workload). One clustered B-tree will not become a write-horizontal system by adding replicas.
How do you scale a single hot clustered row that every session updates?,"Record locks on that clustered leaf serialize writers; a bigger buffer pool does not help. Split the counter into many rows, append events to a log, or move contention out of InnoDB. Indexes on the counter only add more work."
How should backup LSN/GTID and binlog position relate for a correct PITR?,"The snapshot must be a consistent InnoDB LSN/GTID set, and restore must apply binlog from exactly that point. A file copy without redo recovery, or applying from the wrong GTID, duplicates or skips row events around the cut."
What breaks if you set binlog_row_image = MINIMAL to save space?,"Only changed columns (plus keys) are logged. Tools, row triggers, or replicas that need full before-images cannot reconstruct the old row. FULL is safer for audit and some CDC; MINIMAL is a measured bandwidth trade."
What is the availability vs consistency choice when Group Replication flow-controls a slow member?,"The set can throttle writers to let the slow member catch up, or expel it and keep taking writes with a smaller, sometimes less durable, group. Ignoring lag silently risks divergence and long recovery."
Why can online rebuild DDL fail on a very hot table even when the algorithm is INPLACE?,"Concurrent DML is buffered in an online log that must be applied at the end. If the table is too write-heavy the log overflows or catch-up never finishes, so ALTER aborts or writes stall. Schedule rebuilds or throttle DML."
Why can row-based replication still lag on bulk loads?,"The primary may bulk-insert efficiently while the replica applies a huge stream of row events, often single-threaded per schema in older setups. Batching, parallel apply, and not using the replica as a synchronous read-your-writes node are the usual responses."
