Section,Level,Question,Option A,Option B,Option C,Option D,Correct Answer
AI Agents,junior,A classifier plus a fixed email template is usually better than an agent when:,Every input maps to one of a few known actions,The next tool depends on unpredictable observations,You must browse and synthesize many unknown sources,The user goal cannot be enumerated,A
AI Agents,junior,A state machine (graph) agent differs from a free-form ReAct loop because:,Allowed transitions are explicit; the model cannot jump to an arbitrary tool at any time,State machines cannot call tools,Free-form loops cannot observe tool output,Graphs forbid timeouts,A
AI Agents,junior,A tool returns 500. The agent should not:,Retry with backoff if the error looks transient and the tool is safe to retry,Blindly retry in a tight loop with the same side-effecting payload,Surface a bounded failure to the user after a retry budget,Record the error in the trace,B
AI Agents,junior,"An LLM agent, at minimum, is:",A single classification head with no tools,"A loop: the model chooses actions (often tool calls), observes results, and continues until it stops",A database trigger,A tokenizer with a larger vocabulary,B
AI Agents,junior,An agent can run `shell` as root on production. What is the actual risk?,"Tool calls are sandboxed by default, so the prompt cannot cause harm.","Prompt injection or a bad plan can execute irreversible commands; tools are permissions, not suggestions.","LLMs cannot emit function calls, so the shell tool will never fire.","Root is required for observability, so this is best practice.",B
AI Agents,junior,"Episodic memory, in agent design, usually means:",Records of past runs or conversations you may retrieve later,The weights of the base model,The tokenizer merge table,GPU scratch space,A
AI Agents,junior,"For AI agents, a ReAct-style loop thinks, calls a tool, observes, repeats. Why do you still need a max-step budget?",Tokenizers crash after 12 steps.,"Without a stop condition the loop can spin (retries, confusion, tool errors) and burn time/money.",Tools automatically halt after one call.,"The model remembers all prior steps forever, so budgets are only for UX.",B
AI Agents,junior,"For AI agents, a step budget or timeout exists so that:","The agent cannot loop until money, time, or tools are exhausted",Temperature stays at 1,Memory is encrypted,Retrieval is disabled,A
AI Agents,junior,"For AI agents, an over-permissioned tool is dangerous because:",The model might call it with a hallucinated argument and actually take the action,Tools cannot have side effects,Permissions only affect logging,Agents cannot call tools more than once,A
AI Agents,junior,"For AI agents, retrying a “create payment” tool on timeout is risky unless:",The tool is idempotent or you pass an idempotency key,You retry as fast as possible,You hide the error from traces,You raise temperature,A
AI Agents,junior,"For AI agents, tool use requires a schema because:",The model must emit arguments the runtime can parse and validate before execution,Schemas disable JSON,Tools ignore types,Schemas replace authentication,A
AI Agents,junior,Giving an agent a raw shell tool as “just in case” is a problem because:,"It can run commands you never intended, including destructive or data-exfiltrating ones",Shells cannot return text,Models cannot emit command strings,Timeouts become infinite automatically,A
AI Agents,junior,"If you have no traces, an agent that “sometimes does the wrong tool” is hard to fix because:","You cannot see the arguments, observations, or which step diverged",Wrong tools never happen,Logs are illegal for agents,The loop has only one step by definition,A
AI Agents,junior,Traces for agents should record:,Only the final paragraph shown to the user,"Each model step, tool name, arguments, results, and errors, with timings",Only GPU temperature,"Only the system prompt, never tool I/O",B
AI Agents,junior,When is a tool-using agent a worse choice than a plain function call / workflow?,Whenever the task has more than one step.,"When the steps are known, deterministic, and must not invent a plan (refunds, payroll, migrations).",When you have APIs; agents cannot call APIs.,Never; agents are always more accurate because they can retry.,B
AI Agents,junior,When should you usually not use an agent?,The task is a deterministic pipeline or one model call with a known schema,The user goal is unknown and may need several tools,You must branch on intermediate observations you cannot precompute,You need open-ended research with tool use,A
AI Agents,junior,"Which is working memory for an agent, not a long-term store?","The current prompt: instructions, recent observations, and scratch notes in this run",A vector index of all past tickets across months,A policy wiki in RAG,A user profile database,A
