Question,Correct Answer
Agent = loop + tools,"The model proposes an action, the runtime executes a tool, the observation is appended, repeat until a stop condition. No loop, no agent."
Budgets and timeouts,"Cap steps, wall clock, tool time, and tokens. On exhaustion, stop with a visible failure—do not wander."
Least privilege tools,Expose the narrowest action (refund_order_id) not a generic SQL or shell. The model will eventually call whatever you give it.
Memory kinds,Working: this context. Episodic: past runs. Semantic: facts/RAG. Do not pretend the window is a database.
State machine vs free-form,"Graph: allowed edges, easier eval and safety. Free-form: flexible, harder to bound. Default to a graph when the path is known."
Tool errors and retries,"Distinguish transient vs permanent, validate schemas, cap retries, and require idempotency for side effects. Never retry-storm."
Traces,"Span every thought/action/observation with ids, latency, tokens, and errors. You debug agents from traces, not from the final chat bubble."
When NOT to use an agent,"Known DAG, single LLM call, strict latency SLA, pure classify/extract. Agents cost retries, tokens, and surprise."
When should you not use an agent?,"When the control flow is known and mistakes are expensive. A state machine or ordinary code will refund the correct order; an agent might invent a tool call. Agents help when the next step depends on messy observation, not when the workflow is already a flowchart."
Why is a step/time budget mandatory?,"A think-act loop can retry forever on tool errors or a confused plan. Budgets cap cost and latency and force a fallback (human, default, failure). Treat the agent as an untrusted loop, not a guaranteed finisher."
How do you 'update a row' in S3?,Write a new object (or version) of the whole blob. There is no in-place column update.
How does S3 durability actually work?,"Multiple copies plus checksums to detect corruption. Design around copies and integrity checks, not around reciting an SLA percentage."
What does at-least-once SQS require of you?,"Idempotent consumers. The same message can be delivered twice after a timeout, crash, or retry."
What is a prefix hotspot?,A burst of requests concentrated on one key prefix (classic sequential dates). Spread entropy in keys so request rate is not pinned to one partition.
What is visibility timeout?,"The hide window while a consumer works. Crash before delete => message reappears. That is at-least-once, not a lost-work bug in SQS."
Why are tiny files expensive on S3?,Per-request and listing costs dominate storage. Batch records into larger objects; keep metadata in a real index if you must query.
Why do millions of tiny objects hurt?,"You pay per request and LIST/rename patterns become slow. Throughput and operational tooling all assume reasonably sized objects. Batch into larger files (Parquet, log chunks) unless you truly need one-key access to each blob."
Why is S3 not a database?,"It stores objects addressed by key. No secondary indexes, joins, or cheap field updates. GET/PUT/LIST are not SQL."
Why isn't S3 a database?,"You get durable objects and a key namespace, not transactions, secondary indexes, or cheap small mutations. Concurrent writers last-write-win. Use S3 as a system of record for blobs/files, and a real database for records you query and update."
Why not LIST a million-key bucket as your product index?,"LIST is paginated, costly, and not a query planner. Store a catalog (DB or manifest object) and treat S3 as the blob store."
How is the memtable recovered after a crash?,"SSTables already on disk stay. The WAL is replayed to reconstruct unflushed memtable writes, then normal flush/compaction can continue."
"In one sentence, contrast LSM write amplification vs read amplification.","Write amplification is extra bytes rewritten (WAL, flush, compaction) per user write. Read amplification is extra files/I/Os touched per user read."
What does a bloom filter guarantee on an LSM lookup?,"If it says no, the key is definitely not in that SSTable. If it says maybe, you must read the index/data; false positives only waste I/O, they do not return wrong values."
What problem do Bloom filters solve in an LSM?,"A point lookup might otherwise open many SSTables. A Bloom filter can say 'this file definitely does not have the key' and skip it. False positives waste a read; false negatives would be incorrect, so they are designed not to happen for inserted keys."
What problem does compaction solve?,"It merges SSTables, drops obsolete versions and tombstones, and bounds how many files a read must inspect—at the cost of rewriting live data (write amplification)."
What roles do the memtable and WAL play together?,The memtable absorbs sorted in-memory writes for fast ingest. The WAL records those mutations durably first so a crash can rebuild the memtable before the next flush.
When do you want a B-tree vs an LSM tree?,"B-trees update pages in place and shine at point lookups and range scans, at the cost of random writes. LSM trees turn writes into sequential flushes and compact later — great for ingest, worse for read amplification and compaction storms."
Why are LSM range scans heavier than B-tree range scans of the same span?,A B-tree walk follows sorted leaves with little overlap. An LSM scan must merge-sort the memtable plus every overlapping SSTable that might contain keys in the range.
Why can one LSM point get touch several SSTables?,"Flushes create new files over time. The latest version of a key may live in a newer file, so the engine checks memtable then potentially multiple SSTables until it finds the newest value or proves absence."
Why does a random insert usually cost a B-tree a full leaf-page write?,"The engine updates a key in place inside a fixed-size leaf. Durability means writing that whole page (and maybe split parents), so amplification is page-sized, not row-sized."
What does unique_ptr change vs new/delete?,"Ownership is in the type. The destructor deletes on every exit, including exceptions. You can move it but not copy it, which makes double-free and leak paths obvious at compile time."
What is RAII buying you?,"The destructor runs when the object leaves scope, including via exception. Locks, sockets, and heap buffers get released without a manual `finally`. unique_ptr is RAII for heap memory; lock_guard is RAII for mutexes."
Why do vector pointers dangle after growth?,"A vector is a contiguous buffer. When capacity is exceeded it allocates a larger buffer and moves elements. Pointers and iterators into the old buffer are invalid. Reserve first, or don't hold pointers across push_back."
Why is string_view dangerous as a stored field?,"It is a pointer and a length, not an owner. If it points at a temporary or a buffer that was freed, later use is undefined behavior. Store a string if you need to keep the data."
How should you think about partition key vs clustering key?,The partition key decides which node/shard owns the data and must stay well distributed. Clustering keys order rows inside that partition so you can range-read one user's timeline. A huge partition or a low-cardinality partition key becomes a hot shard.
Partition key vs clustering columns: who does what?,The partition key hashes to a token and chooses the replica set (where data lives). Clustering columns sort rows inside that partition on disk and in queries.
What does repair fix that normal reads/writes might miss?,"Replica divergence from downtime, dropped hints, or missed mutations. Anti-entropy compares token ranges and streams missing data."
What is a tombstone and why must it exist?,"It is a deletion marker stored like data. Without it, an older SSTable could resurrect a value after a delete. Compaction removes tombstones only after it is safe."
What is hinted handoff?,"If a replica is down, the coordinator may store a hint and replay the mutation when the replica returns. It is a short-term miss buffer, not full repair."
What is the difference between RF and consistency level?,RF is how many replicas store each partition. CL is how many replicas must acknowledge this specific read or write before success.
Why are LWTs more expensive than ordinary writes?,"IF / CAS uses a Paxos-style agreement round on the partition instead of a regular quorum write, adding round trips and contention."
Why are hot partitions dangerous?,All reads/writes for that key hash to the same token and the same small replica set. Those nodes become the bottleneck even if the cluster average looks fine.
Why do deletes leave tombstones?,"Replicas may be down. If you dropped the row immediately, repair could copy an old copy back. A tombstone says 'this is gone' until gc_grace_seconds, then it can be dropped. Too many tombstones make reads scan a graveyard."
"With RF=3, how many replicas is QUORUM?","A majority of RF, so 2. ALL would be 3; ONE would be 1."
"BFS vs DFS, pick from the question","Fewest hops / unweighted shortest / level order → BFS. Explore one branch, cycle detect in directed graphs, topo-style recursion, lower memory on skinny graphs → DFS."
Bloom filter contract,'No' = definitely absent. 'Yes' = maybe present (false positives). Size and hash count trade memory for that error rate. Never treat yes as proof.
Hash table vs tree — how do you choose?,"Hash tables give expected O(1) lookup without order. Trees (or sorted arrays) give ordered scans, range queries, and worst-case bounds. If you need 'all keys from A to B', a hash table makes you scan everything."
LRU as two structures,Hash map: key → node. Doubly linked list (or clock/2Q variant): recency. Hit = splice to front. Evict = drop tail. One without the other misses the workload.
Pick hash vs tree vs heap from the query,"Exact key lookup / membership → hash. Ordered range, predecessor, sorted iteration → tree. Repeated extract-min/max → heap. Do not store a dictionary in a heap."
Union-find workload,"Disjoint sets with merge and same-component queries (networks, Kruskal, clustering). Path compression + union by rank makes the operations effectively tiny. Not a replacement for shortest path."
What is a Bloom filter actually promising?,"A compact, probabilistic set. 'No' means definitely not present. 'Yes' means maybe, with a tuned false-positive rate. You use it to skip expensive lookups, never as the only source of truth."
When stability of a sort matters,"Ties must keep input order: multi-pass sorts (sort by last key first), UI that should not jump rows, and merging already-ordered groups. Unstable is fine if you sort a total unique key."
Why consistent hashing exists,"hash % N reshuffles nearly all keys when N changes. Consistent hashing moves ~keys/N. Use it for caches, shards, and DHT-style ownership."
Why linked lists lose on real machines,"Pointer chasing: poor spatial locality, extra allocations, no prefetch. An array/ring buffer does the same O(1) enqueue with contiguous loads. Measure cache misses, not just big-O."
How should you model around the 400KB item limit?,"Keep items metadata-sized. Put large blobs in object storage and store a pointer. Split 1:N into item collections (PK=parent, SK=child) instead of a giant nested list."
On-demand vs provisioned as workload shape?,"On-demand fits spiky/unknown traffic. Provisioned (often with autoscaling) fits steady, forecastable QPS. Neither removes a single hot key."
Query vs GetItem vs Scan?,"GetItem: one item by full primary key. Query: one partition, optional sort-key range. Scan: whole table — last resort, not an access pattern."
Strongly consistent vs eventually consistent reads?,Eventual is cheaper and fine if a brief lag is OK. Strong (base table only) is for read-my-write on that item in that region. GSIs are eventual.
What does the partition key actually choose?,"Which partition stores the item and therefore where that item's throughput is accounted. Design keys from access patterns, not from ER diagrams."
What is a hot key?,A partition key (or key range) that receives a disproportionate share of reads/writes so one partition throttles while the table still looks like it has spare capacity.
What makes a DynamoDB partition hot?,"Item location is a hash of the partition key. If one key (or a tiny set) gets most traffic, one shard takes the hit and throttles even if the table has unused capacity. High-cardinality keys, sharding suffixes, or caching hot items are the usual fixes."
"Why design for Query, not Scan, on the request path?","Query hits one partition (and a sort-key range). Scan walks the table. Scan's cost and tail latency grow with data size, not with the answer size, so it belongs in jobs — not in user requests."
Why do Scans hurt as the table grows?,"Scan reads every item (you still pay for filtered-out rows), eats read capacity, and latency tracks table size. Prefer Query on keys that match an access pattern."
Why does partition-key cardinality matter?,"DynamoDB spreads load by key. Low-cardinality keys (status=ACTIVE) collapse traffic onto few partitions; high, even cardinality lets the table scale."
Chunking rule of thumb,"Make each chunk self-contained enough to answer. Overlap helps boundaries. Splitting mid-table, mid-code, or mid-definition loses meaning."
Context window cost,"Every included token is processed. Longer context raises latency, compute, and price, and can drown the useful span in noise."
Prompt injection,Attacker-controlled content in the context tries to override the system task or hijack tools. Treat retrieved and user-supplied text as untrusted.
Prompt vs RAG vs fine-tune,Prompt = task and constraints. RAG = living documents. Fine-tune = style/format/domain behavior in weights. Do not fine-tune to store facts that change.
RAG failure: retrieval miss,"If the answering chunk is never retrieved, the generator will guess. Retrieval quality is an upper bound on grounded quality."
Tokens ≠ words,"Subword tokenizers split or merge pieces. Cost, truncation, and context limits are in tokens. The same sentence can be more tokens in some languages or in code."
What does temperature do?,It rescales the next-token distribution. High = more random/diverse. Low = more greedy/deterministic. It does not add knowledge.
"What is a context window, practically?","The model only attends to a bounded token budget (prompt + generation). Overflow is truncated or rejected, and quality often falls on very long dumps. Put the relevant evidence in, don't paste the whole corpus."
Why do LLMs hallucinate?,"They generate likely next tokens, not answers from a knowledge base with a truth constraint. Fluency is cheap; grounding is not. Retrieval, tools, citations you actually fetch, and eval are how products constrain that."
Why do next-token models hallucinate?,"They predict likely next tokens, not verified facts. Fluency is not a truth check, so coherent text can still be false."
What goes wrong with an unbounded thread-pool queue?,"Work hides in memory instead of being rejected. Latency goes to infinity, heap grows, and you OOM. Bounded queues plus a rejection policy (caller-runs, fail fast) give backpressure."
Why must equals and hashCode stay in contract?,"Hash-based collections place an object by hashCode and find it with equals. If you mutate a field that feeds hashCode, the object is in the wrong bucket. If equals uses fields hashCode ignores, two 'equal' keys can both live in the map."
Graceful shutdown sequence on pod delete,"preStop hook (if any) → SIGTERM → app drains connections → exit. If still running at terminationGracePeriodSeconds, SIGKILL. Also fail readiness immediately so the Service stops sending work."
HPA vs VPA,"HPA changes replica count from metrics (CPU, custom). VPA changes resource requests/limits on the pod. They conflict if both chase the same saturation signal."
Liveness vs readiness — what happens if you mix them up?,"Readiness removes the pod from Service endpoints until it can serve. Liveness kills and restarts the container. If liveness depends on a overloaded dependency, Kubernetes restarts the victim, which often makes the outage worse. Keep liveness cheap and process-local."
"Liveness vs readiness, one sentence each","Liveness: restart this container, it is wedged. Readiness: keep it running but take it out of Endpoints until it can serve. Never point liveness at a shared dependency."
Rolling update: maxSurge vs maxUnavailable,maxSurge = extra new pods allowed above desired. maxUnavailable = how many can be down. Together they bound capacity during a Deployment rollout.
What CrashLoopBackOff is telling you,"The container keeps dying after start (bad config, missing secret, failed liveness, OOM). kubelet restarts with exponential backoff. Inspect previous logs, exit code, and events — it is not a pending/schedule problem."
What a PDB actually blocks,"Voluntary disruptions (drain, eviction API) that would take ready pods below minAvailable / exceed maxUnavailable. Not node crashes, OOM, or failed liveness."
Why :latest (or any mutable tag) is unsafe,"The name does not pin a digest. Nodes may run different bits, rollbacks are lies, and IfNotPresent may never pick up the 'new latest.' Pin digest or immutable tags."
Why pin image digests or immutable tags?,":latest means 'whatever we pulled last'. Different nodes can run different bytes, and you cannot roll back to a known artifact. Production should ship a digest or an immutable version tag."
requests vs limits,"requests = scheduler reservation and (for CPU) baseline share. limits = runtime cap (CPU throttle, memory OOMKill). A pod with no request can be packed tightly and then starved."
How can REPEATABLE READ still surprise you with phantom-like behavior?,"Plain SELECTs use a consistent MVCC snapshot and do not lock gaps. Mixing snapshot reads with later writes, or assuming RR is SERIALIZABLE, lets concurrent inserts change outcomes you thought were frozen."
"What does the InnoDB buffer pool cache, and what happens when it is too small?","It caches data and index pages (and related structures). If the working set misses, you pay disk reads and dirty-page flushes. Size it for clustered leaves plus the secondary indexes your workload actually touches."
What is a gap lock and why does it block inserts of keys that do not exist yet?,"Under REPEATABLE READ, next-key locking locks the record and the gap before it so no one can insert into a scanned range. That prevents phantoms for locking reads, but concurrent inserts into those gaps wait or deadlock."
When is a covering secondary index worth the extra write cost?,"When a frequent query can be satisfied from the secondary leaf alone, you avoid a clustered lookup per row. You pay for maintaining another tree on every write, so it should match a real hot path, not every column you might select."
Why are some ALTERs 'online' and others a table rebuild?,"INSTANT/INPLACE changes that are metadata-only or can build a secondary index without copying the clustered table avoid a full rewrite. Changing types or some nullability still rebuilds rows, copies the table, and blocks or lags more."
Why can replica reads be wrong even when the replica is 'up'?,"Async replication applies the primary's binlog with lag. A client that writes on the primary and immediately reads a random replica can miss its own write. Read-your-writes needs the primary, a session-consistent replica, or a lag check."
Why can statement-based replication diverge while row-based does not?,"SBR re-executes SQL on the replica, so non-deterministic functions, different optimizer choices, or data drift produce different rows. RBR ships row images, so the replica applies the same changes at higher binlog volume."
