Section,Question,Correct Answer
AI Agents,Agent as last resort,"Ship the cheapest reliable machine: software, then one LLM call, then a graph, then a free-form loop. Each step up spends reliability."
AI Agents,"For AI agents, confused-deputy tools","Injection + a powerful tool is RCE-shaped. Scope credentials per tool, per tenant, per environment. Confirm irreversible calls."
AI Agents,"For AI agents, control plane vs language","Tools, graphs, budgets, and validators are the control plane. The model proposes. If a constraint matters, do not leave it in prose."
AI Agents,"For AI agents, hybrid graph + inner loop","Outer state machine for policy. Inner bounded loop for local search. Terminal nodes for writes. Runtime halt, not “please stop.”"
AI Agents,"For AI agents, memory write amplification","Unreviewed writes turn one hallucination into future retrieval “truth.” Version, gate, and decay memory."
AI Agents,"For AI agents, observation inflation",Huge tool payloads dominate tokens and can hide the goal. Store blobs by reference; put summaries in context with a hard cap.
AI Agents,"For AI agents, observation injection","Tool results are an attack surface. Sanitize, delimit, and never let fetched text expand the allowed tool set."
AI Agents,"For AI agents, trajectory metrics","Illegal transition rate, retry density, tokens per successful task, time-to-halt, secret-in-args rate. Final accuracy hides these."
AI Agents,What is non-negotiable for an agent that can change prod?,"Scoped credentials, allowlisted tools, human approval on irreversible steps, traces you can audit, and a rollback path that does not need the agent. Treat it as an untrusted intern with a terminal."
AI Agents,What makes multi-agent debate fail in production?,"Cost without a reducer. If two agents disagree, something must pick, score, or escalate. Otherwise you paid 2× tokens for a random winner. Define the contract before adding a critic."
AWS & S3,Browser PUT per click to S3 — why not?,"Tiny-object tax, prefix heat, no aggregation. Buffer in a stream/Firehose/queue, then roll large checksummed objects."
AWS & S3,CAS on one hot S3 inventory object?,"Serializes the world onto a blob store key. Shard, use a database for the hot row, or queue the writes."
AWS & S3,End-to-end exactly-once through SQS and S3?,"You don't get it. Each hop is at-least-once. Idempotent, deterministic object keys are the contract."
AWS & S3,How do you debug a denied S3 request?,"Identity policy, bucket policy, ACLs (legacy), SCP, and VPC endpoint policy all have to allow. A deny anywhere wins. 'The bucket policy looks open' is not a diagnosis."
AWS & S3,"In AWS / S3, copies protect disks, not DELETE in the app. Then what?","Versioning, Object Lock/MFA-delete, tight IAM, and backups. Operational deletes are not the same failure mode as bit rot."
AWS & S3,"In AWS / S3, deterministic object keys on retry — why?","If the consumer PUTs then crashes before ack, replay should overwrite the same key, not create duplicate random objects."
AWS & S3,"In AWS / S3, is cross-region replication a commit?",No. It is async. Region B may not have the object yet. Not a multi-region database transaction.
AWS & S3,"In AWS / S3, strong GET of one key vs workflow isolation?",One object read is not a transaction across object + queue + table. Compose idempotent steps with explicit versions.
AWS & S3,"In AWS / S3, why do data lakes need a commit protocol?",S3 does not atomically swap a directory of files. Readers listing a prefix can see a mix of old and new. Iceberg/Delta/Hudi or a manifest file is the transaction log the object store does not provide.
AWS & S3,S3 as a lockfile — why does it split-brain?,No robust lease/fencing. Timeouts and retries let two workers both believe they hold the lock. Use a real lock/consensus service.
B-tree & LSM,"For B-trees and LSM trees, how do LSM tombstones become an outage?","Deletes are data until compaction drops them. If TTL/delete volume outruns compaction, reads scan graves and disk fills. Time-window compaction and bounded tombstone lifetimes are workload-specific, not defaults you ignore."
B-tree & LSM,"For B-trees and LSM trees, how must an LSM merge iterator treat duplicates and tombstones?",Newest sequence/generation wins. A newer tombstone hides older values until compaction drops both. Oldest-file-wins would resurrect deleted data.
B-tree & LSM,"For B-trees and LSM trees, if write amp falls and read amp rises after a compaction-policy change, what happened?","You likely moved toward lazier tiered/universal merging: fewer rewrites, more overlapping runs. The inverse move (more leveling) raises write amp and cuts read amp."
B-tree & LSM,"For B-trees and LSM trees, why do prefix/partitioned blooms exist?",A whole-file bloom only answers 'is this exact key maybe in the file?' Partitioned/prefix filters can prune files for prefix or range existence without merging every overlapping run.
B-tree & LSM,"For B-trees and LSM trees, why is 'write amp ≈ level ratio' an underestimate for leveled LSM?","It ignores WAL, flush (L0), overlapping L0→L1 compaction, and any rewrites from deletes/updates. Operational write amp is those layers multiplied, not just per-level merge."
B-tree & LSM,"For B-trees and LSM trees, why isn't 'RocksDB + S3' a database?","You have a very good local engine. You still need replication, membership, fencing, and a commit protocol. Object storage is a persistence target, not consensus. People who skip this invent split brain."
B-tree & LSM,"For B-trees and LSM trees, why must SSTable fsync and WAL fsync both happen, at different times?",WAL fsync makes the latest acknowledged memtable mutations recoverable. SSTable fsync makes a flush durable so the WAL can be truncated; skipping either breaks crash correctness.
B-tree & LSM,"For B-trees and LSM trees, you have RAM for either extra bloom bits or extra block cache. How do you choose?",Measure miss type. Extra bloom bits cut SSTable probes on negatives. Cache helps positive lookups and index/data blocks. There is no universal winner.
B-tree & LSM,How does the RUM conjecture frame B-tree vs LSM?,"You cannot minimize read, update, and memory/space amplification together. B-trees lean toward cheaper reads/locality; LSM leans toward cheaper updates/ingest; each inflates the other dimensions."
B-tree & LSM,Why can CoW B-trees still lose the random-ingest race to LSM?,CoW still tends to copy page-granularity nodes and ancestors. LSM batches many random keys into sequential runs; it defers random I/O into compaction instead of paying it on the user write.
C++,How do you keep a C++ library ABI stable?,"Don't put STL types or exceptions in the public .so surface. Export a C API with opaque pointers, and give customers a header-only C++ wrapper they compile themselves."
C++,"In C++, how do you publish read-mostly config to many threads?",Immutable snapshot + atomic shared_ptr (RCU-style): writers allocate a new object and swap the pointer; readers load the pointer and use it without a mutex. Old snapshots free when the last reader drops.
C++,"In C++, why can -O3 reveal bugs sanitizers missed at -O0?",Undefined behavior lets the optimizer delete checks and reorder around a race or aliasing violation. The 'working' debug build was luck. Build with sanitizers and also test optimized binaries.
C++,"In C++, why is a C ABI the default plugin boundary?","std::string, exceptions, and STL layouts change across compilers and library versions. A C API (buffers, error codes) is stable. You can wrap it in C++ on each side."
